Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Host Immune Response to Clostridium difficile Infection in Inflammatory Bowel Disease Patients.","/pubmed/26954708","Hughes M, Qazi T, Berg A, Weinberg J, Chen X, Kelly CP, Farraye FA.","Inflamm Bowel Dis. 2016 Apr;22(4):853-61. doi: 10.1097/MIB.0000000000000696.","Inflamm Bowel Dis.  2016","PubMed","citation","PMID:26954708 | PMCID:PMC4792680","pubmed","26954708","create date:2016/03/10 | first author:Hughes M",
"Renal Interstitial Fibrosis: An Imperfect Predictor of Kidney Disease Progression in Some Patient Cohorts.","/pubmed/27626625","Menn-Josephy H, Lee CS, Nolin A, Christov M, Rybin DV, Weinberg JM, Henderson J, Bonegio R, Havasi A.","Am J Nephrol. 2016;44(4):289-299.","Am J Nephrol.  2016","PubMed","citation","PMID:27626625","pubmed","27626625","create date:2016/10/19 | first author:Menn-Josephy H",
"The Aryl Hydrocarbon Receptor is a Critical Regulator of Tissue Factor Stability and an Antithrombotic Target in Uremia.","/pubmed/26019318","Shivanna S, Kolandaivelu K, Shashar M, Belghasim M, Al-Rabadi L, Balcells M, Zhang A, Weinberg J, Francis J, Pollastri MP, Edelman ER, Sherr DH, Chitalia VC.","J Am Soc Nephrol. 2016 Jan;27(1):189-201. doi: 10.1681/ASN.2014121241.","J Am Soc Nephrol.  2016","PubMed","citation","PMID:26019318 | PMCID:PMC4696580","pubmed","26019318","create date:2015/05/29 | first author:Shivanna S",
"Association of Do-Not-Resuscitate Orders and Hospital Mortality Rate Among Patients With Pneumonia.","/pubmed/26658673","Walkey AJ, Weinberg J, Wiener RS, Cooke CR, Lindenauer PK.","JAMA Intern Med. 2016 Jan;176(1):97-104. doi: 10.1001/jamainternmed.2015.6324.","JAMA Intern Med.  2016","PubMed","citation","PMID:26658673","pubmed","26658673","create date:2015/12/15 | first author:Walkey AJ",
"Fresolimumab treatment decreases biomarkers and improves clinical symptoms in systemic sclerosis patients.","/pubmed/26098215","Rice LM, Padilla CM, McLaughlin SR, Mathes A, Ziemek J, Goummih S, Nakerakanti S, York M, Farina G, Whitfield ML, Spiera RF, Christmann RB, Gordon JK, Weinberg J, Simms RW, Lafyatis R.","J Clin Invest. 2015 Jul 1;125(7):2795-807. doi: 10.1172/JCI77958.","J Clin Invest.  2015","PubMed","citation","PMID:26098215 | PMCID:PMC4563675","pubmed","26098215","create date:2015/06/23 | first author:Rice LM",
"Coagulase-negative staphylococcal bloodstream infections: Does vancomycin remain appropriate empiric therapy?","/pubmed/25725152","Valencia-Rey P, Weinberg J, Miller NS, Barlam TF.","J Infect. 2015 Jul;71(1):53-60. doi: 10.1016/j.jinf.2015.02.007.","J Infect.  2015","PubMed","citation","PMID:25725152","pubmed","25725152","create date:2015/03/01 | first author:Valencia-Rey P",
"Long-term health effects of early life exposure to tetrachloroethylene (PCE)-contaminated drinking water: a retrospective cohort study.","/pubmed/25889838","Aschengrau A, Winter MR, Vieira VM, Webster TF, Janulewicz PA, Gallagher LG, Weinberg J, Ozonoff DM.","Environ Health. 2015 Apr 12;14:36. doi: 10.1186/s12940-015-0021-z.","Environ Health.  2015","PubMed","citation","PMID:25889838 | PMCID:PMC4397674","pubmed","25889838","create date:2015/04/19 | first author:Aschengrau A",
"Pulmonary hypertension associated with heart failure with preserved ejection fraction: acute hemodynamic effects of inhaled iloprost.","/pubmed/25992282","Grossman NL, Fiack CA, Weinberg JM, Rybin DV, Farber HW.","Pulm Circ. 2015 Mar;5(1):198-203. doi: 10.1086/679725.","Pulm Circ.  2015","PubMed","citation","PMID:25992282 | PMCID:PMC4405721","pubmed","25992282","create date:2015/05/21 | first author:Grossman NL",
"Preference and Expectation for Treatment Assignment in a Randomized Controlled Trial of Once- vs Twice-weekly Yoga for Chronic Low Back Pain.","/pubmed/25694850","Tran HH, Weinberg J, Sherman KJ, Saper RB.","Glob Adv Health Med. 2015 Jan;4(1):34-9. doi: 10.7453/gahmj.2014.066.","Glob Adv Health Med.  2015","PubMed","citation","PMID:25694850 | PMCID:PMC4311555","pubmed","25694850","create date:2015/02/20 | first author:Tran HH",
"Temporal variability of polybrominated diphenyl ether (PBDE) serum concentrations over one year.","/pubmed/25383963","Makey CM, McClean MD, Sjödin A, Weinberg J, Carignan CC, Webster TF.","Environ Sci Technol. 2014 Dec 16;48(24):14642-9. doi: 10.1021/es5026118.","Environ Sci Technol.  2014","PubMed","citation","PMID:25383963 | PMCID:PMC4270390","pubmed","25383963","create date:2014/11/11 | first author:Makey CM",
"Survival time of methicillin-resistant Staphylococcus aureus-free status after institutional clearance.","/pubmed/25203181","Valencia-Rey PA, Strymish J, Robillard E, Evans M, Weinberg J, Gupta K.","Infect Control Hosp Epidemiol. 2014 Oct;35(10):1271-6. doi: 10.1086/678065.","Infect Control Hosp Epidemiol.  2014","PubMed","citation","PMID:25203181","pubmed","25203181","create date:2014/09/10 | first author:Valencia-Rey PA",
"Lower magnesium level associated with new-onset diabetes and pre-diabetes after kidney transplantation.","/pubmed/24609888","Garg N, Weinberg J, Ghai S, Bradauskaite G, Nuhn M, Gautam A, Kumar N, Francis J, Chen JL.","J Nephrol. 2014 Jun;27(3):339-44. doi: 10.1007/s40620-014-0072-1.","J Nephrol.  2014","PubMed","citation","PMID:24609888","pubmed","24609888","create date:2014/03/13 | first author:Garg N",
"Ehlers-Danlos Syndrome and Postural Tachycardia Syndrome: a relationship study.","/pubmed/24685354","Wallman D, Weinberg J, Hohler AD.","J Neurol Sci. 2014 May 15;340(1-2):99-102. doi: 10.1016/j.jns.2014.03.002.","J Neurol Sci.  2014","PubMed","citation","PMID:24685354","pubmed","24685354","create date:2014/04/02 | first author:Wallman D",
"Inter-method reliability of paper surveys and computer assisted telephone interviews in a randomized controlled trial of yoga for low back pain.","/pubmed/24716775","Cerrada CJ, Weinberg J, Sherman KJ, Saper RB.","BMC Res Notes. 2014 Apr 9;7:227. doi: 10.1186/1756-0500-7-227.","BMC Res Notes.  2014","PubMed","citation","PMID:24716775 | PMCID:PMC3986430","pubmed","24716775","create date:2014/04/11 | first author:Cerrada CJ",
"Yoga vs. physical therapy vs. education for chronic low back pain in predominantly minority populations: study protocol for a randomized controlled trial.","/pubmed/24568299","Saper RB, Sherman KJ, Delitto A, Herman PM, Stevans J, Paris R, Keosaian JE, Cerrada CJ, Lemaster CM, Faulkner C, Breuer M, Weinberg J.","Trials. 2014 Feb 26;15:67. doi: 10.1186/1745-6215-15-67.","Trials.  2014","PubMed","citation","PMID:24568299 | PMCID:PMC3944007","pubmed","24568299","create date:2014/02/27 | first author:Saper RB",
"Participant Characteristics Associated with Symptomatic Improvement from Yoga for Chronic Low Back Pain.","/pubmed/25401042","Stein KM, Weinberg J, Sherman KJ, Lemaster CM, Saper R.","J Yoga Phys Ther. 2014 Jan 11;4(1):151.","J Yoga Phys Ther.  2014","PubMed","citation","PMID:25401042 | PMCID:PMC4228962","pubmed","25401042","create date:2014/11/18 | first author:Stein KM",
"Lysine methylation promotes VEGFR-2 activation and angiogenesis.","/pubmed/24300896","Hartsough EJ, Meyer RD, Chitalia V, Jiang Y, Marquez VE, Zhdanova IV, Weinberg J, Costello CE, Rahimi N.","Sci Signal. 2013 Dec 3;6(304):ra104. doi: 10.1126/scisignal.2004289.","Sci Signal.  2013","PubMed","citation","PMID:24300896 | PMCID:PMC4108444","pubmed","24300896","create date:2013/12/05 | first author:Hartsough EJ",
"Associations between PBDEs in office air, dust, and surface wipes.","/pubmed/23797055","Watkins DJ, McClean MD, Fraser AJ, Weinberg J, Stapleton HM, Webster TF.","Environ Int. 2013 Sep;59:124-32. doi: 10.1016/j.envint.2013.06.001.","Environ Int.  2013","PubMed","citation","PMID:23797055 | PMCID:PMC3759556","pubmed","23797055","create date:2013/06/26 | first author:Watkins DJ",
"Perfluorooctanoic acid exposure and cancer outcomes in a contaminated community: a geographic analysis.","/pubmed/23308854","Vieira VM, Hoffman K, Shin HM, Weinberg JM, Webster TF, Fletcher T.","Environ Health Perspect. 2013 Mar;121(3):318-23. doi: 10.1289/ehp.1205829.","Environ Health Perspect.  2013","PubMed","citation","PMID:23308854 | PMCID:PMC3621179","pubmed","23308854","create date:2013/01/12 | first author:Vieira VM",
"Reliability of adenoma detection rate is based on procedural volume.","/pubmed/23211748","Do A, Weinberg J, Kakkar A, Jacobson BC.","Gastrointest Endosc. 2013 Mar;77(3):376-80. doi: 10.1016/j.gie.2012.10.023.","Gastrointest Endosc.  2013","PubMed","citation","PMID:23211748","pubmed","23211748","create date:2012/12/06 | first author:Do A",
"Comparing Once- versus Twice-Weekly Yoga Classes for Chronic Low Back Pain in Predominantly Low Income Minorities: A Randomized Dosing Trial.","/pubmed/23878604","Saper RB, Boah AR, Keosaian J, Cerrada C, Weinberg J, Sherman KJ.","Evid Based Complement Alternat Med. 2013;2013:658030. doi: 10.1155/2013/658030.","Evid Based Complement Alternat Med.  2013","PubMed","citation","PMID:23878604 | PMCID:PMC3710634","pubmed","23878604","create date:2013/07/24 | first author:Saper RB",
"Significance of granulomatous inflammation found on endoscopic biopsies or surgical resections on the severity of Crohn's disease.","/pubmed/23632360","Kanneganti M, Dehghani B, Steinberg J, Cerda S, Rybin D, Weinberg J, Farraye FA.","J Clin Gastroenterol. 2013 Nov-Dec;47(10):894. doi: 10.1097/MCG.0b013e31829007d4. No abstract available. ","J Clin Gastroenterol.  2013","PubMed","citation","PMID:23632360","pubmed","23632360","create date:2013/05/02 | first author:Kanneganti M",
"Evaluating exposure to abuse and violence in neurological patients.","/pubmed/23269099","Roque AM, Weinberg J, Hohler AD.","Neurologist. 2013 Jan;19(1):7-10. doi: 10.1097/NRL.0b013e31827c6c26.","Neurologist.  2013","PubMed","citation","PMID:23269099","pubmed","23269099","create date:2012/12/28 | first author:Roque AM",
"Structural Magnetic Resonance Imaging in an adult cohort following prenatal and early postnatal exposure to tetrachloroethylene (PCE)-contaminated drinking water.","/pubmed/23571160","Janulewicz PA, Killiany RJ, White RF, Martin BM, Winter MR, Weinberg JM, Aschengrau A.","Neurotoxicol Teratol. 2013 Jul-Aug;38:13-20. doi: 10.1016/j.ntt.2013.03.060.","Neurotoxicol Teratol.  2013","PubMed","citation","PMID:23571160 | PMCID:PMC3893699","pubmed","23571160","create date:2013/04/11 | first author:Janulewicz PA",
"Prenatal and early childhood exposure to tetrachloroethylene and adult vision.","/pubmed/22784657","Getz KD, Janulewicz PA, Rowe S, Weinberg JM, Winter MR, Martin BR, Vieira VM, White RF, Aschengrau A.","Environ Health Perspect. 2012 Sep;120(9):1327-32. doi: 10.1289/ehp.1103996.","Environ Health Perspect.  2012","PubMed","citation","PMID:22784657 | PMCID:PMC3440105","pubmed","22784657","create date:2012/07/13 | first author:Getz KD",
"Individual-level space-time analyses of emergency department data using generalized additive modeling.","/pubmed/22914047","Vieira VM, Weinberg JM, Webster TF.","BMC Public Health. 2012 Aug 22;12:687. doi: 10.1186/1471-2458-12-687.","BMC Public Health.  2012","PubMed","citation","PMID:22914047 | PMCID:PMC3542588","pubmed","22914047","create date:2012/08/24 | first author:Vieira VM",
"Risk factors for abnormal anal cytology over time in HIV-infected women.","/pubmed/22520651","Baranoski AS, Tandon R, Weinberg J, Huang FF, Stier EA.","Am J Obstet Gynecol. 2012 Aug;207(2):107.e1-8. doi: 10.1016/j.ajog.2012.03.030.","Am J Obstet Gynecol.  2012","PubMed","citation","PMID:22520651 | PMCID:PMC3408557","pubmed","22520651","create date:2012/04/24 | first author:Baranoski AS",
"ASCA IgG and CBir antibodies are associated with the development of Crohn's disease and fistulae following ileal pouch-anal anastomosis.","/pubmed/22311367","Coukos JA, Howard LA, Weinberg JM, Becker JM, Stucchi AF, Farraye FA.","Dig Dis Sci. 2012 Jun;57(6):1544-53. doi: 10.1007/s10620-012-2050-6.","Dig Dis Sci.  2012","PubMed","citation","PMID:22311367","pubmed","22311367","create date:2012/02/09 | first author:Coukos JA",
"Determining the Probability Distribution and Evaluating Sensitivity and False Positive Rate of a Confounder Detection Method Applied To Logistic Regression.","/pubmed/23420565","Bliss R, Weinberg J, Webster T, Vieira V.","J Biom Biostat. 2012 May 23;3(4):142.","J Biom Biostat.  2012","PubMed","citation","PMID:23420565 | PMCID:PMC3571096","pubmed","23420565","create date:2013/02/20 | first author:Bliss R",
"Occurrence of mental illness following prenatal and early childhood exposure to tetrachloroethylene (PCE)-contaminated drinking water: a retrospective cohort study.","/pubmed/22264316","Aschengrau A, Weinberg JM, Janulewicz PA, Romano ME, Gallagher LG, Winter MR, Martin BR, Vieira VM, Webster TF, White RF, Ozonoff DM.","Environ Health. 2012 Jan 20;11:2. doi: 10.1186/1476-069X-11-2.","Environ Health.  2012","PubMed","citation","PMID:22264316 | PMCID:PMC3292942","pubmed","22264316","create date:2012/01/24 | first author:Aschengrau A",
"Impact of dust from multiple microenvironments and diet on PentaBDE body burden.","/pubmed/22142368","Watkins DJ, McClean MD, Fraser AJ, Weinberg J, Stapleton HM, Sjödin A, Webster TF.","Environ Sci Technol. 2012 Jan 17;46(2):1192-200. doi: 10.1021/es203314e.","Environ Sci Technol.  2012","PubMed","citation","PMID:22142368 | PMCID:PMC3268060","pubmed","22142368","create date:2011/12/07 | first author:Watkins DJ",
"Adult neuropsychological performance following prenatal and early postnatal exposure to tetrachloroethylene (PCE)-contaminated drinking water.","/pubmed/22522125","Janulewicz PA, White RF, Martin BM, Winter MR, Weinberg JM, Vieira V, Aschengrau A.","Neurotoxicol Teratol. 2012 May-Jun;34(3):350-9. doi: 10.1016/j.ntt.2012.04.001.","Neurotoxicol Teratol.  2012","PubMed","citation","PMID:22522125 | PMCID:PMC3553661","pubmed","22522125","create date:2012/04/24 | first author:Janulewicz PA",
"Affinity for risky behaviors following prenatal and early childhood exposure to tetrachloroethylene (PCE)-contaminated drinking water: a retrospective cohort study.","/pubmed/22136431","Aschengrau A, Weinberg JM, Janulewicz PA, Romano ME, Gallagher LG, Winter MR, Martin BR, Vieira VM, Webster TF, White RF, Ozonoff DM.","Environ Health. 2011 Dec 2;10:102. doi: 10.1186/1476-069X-10-102.","Environ Health.  2011","PubMed","citation","PMID:22136431 | PMCID:PMC3268745","pubmed","22136431","create date:2011/12/06 | first author:Aschengrau A",
"Adjusted significance cutoffs for hypothesis tests applied with generalized additive models with bivariate smoothers.","/pubmed/22748227","Bliss RL, Weinberg J, Vieira VM, Webster TF.","Spat Spatiotemporal Epidemiol. 2011 Dec;2(4):291-300. doi: 10.1016/j.sste.2011.09.001.","Spat Spatiotemporal Epidemiol.  2011","PubMed","citation","PMID:22748227 | PMCID:PMC3389351","pubmed","22748227","create date:2012/07/04 | first author:Bliss RL",
"Exposure to PBDEs in the office environment: evaluating the relationships between dust, handwipes, and serum.","/pubmed/21715243","Watkins DJ, McClean MD, Fraser AJ, Weinberg J, Stapleton HM, Sjödin A, Webster TF.","Environ Health Perspect. 2011 Sep;119(9):1247-52. doi: 10.1289/ehp.1003271.","Environ Health Perspect.  2011","PubMed","citation","PMID:21715243 | PMCID:PMC3230398","pubmed","21715243","create date:2011/07/01 | first author:Watkins DJ",
"Neighborhood-level factors associated with physical dating violence perpetration: results of a representative survey conducted in Boston, MA.","/pubmed/21331747","Rothman EF, Johnson RM, Young R, Weinberg J, Azrael D, Molnar BE.","J Urban Health. 2011 Apr;88(2):201-13. doi: 10.1007/s11524-011-9543-z.","J Urban Health.  2011","PubMed","citation","PMID:21331747 | PMCID:PMC3079028","pubmed","21331747","create date:2011/02/19 | first author:Rothman EF",
"The effect of Reiki on work-related stress of the registered nurse.","/pubmed/20699431","Cuneo CL, Curtis Cooper MR, Drew CS, Naoum-Heffernan C, Sherman T, Walz K, Weinberg J.","J Holist Nurs. 2011 Mar;29(1):33-43. doi: 10.1177/0898010110377294.","J Holist Nurs.  2011","PubMed","citation","PMID:20699431","pubmed","20699431","create date:2010/08/12 | first author:Cuneo CL",
"Generalized Additive Models and Inflated Type I Error Rates of Smoother Significance Tests.","/pubmed/20948974","Young RL, Weinberg J, Vieira V, Ozonoff A, Webster TF.","Comput Stat Data Anal. 2011 Jan 1;55(1):366-374.","Comput Stat Data Anal.  2011","PubMed","citation","PMID:20948974 | PMCID:PMC2952638","pubmed","20948974","create date:2010/10/16 | first author:Young RL",
"Perpetration of physical assault against dating partners, peers, and siblings among a locally representative sample of high school students in Boston, Massachusetts.","/pubmed/21135340","Rothman EF, Johnson RM, Azrael D, Hall DM, Weinberg J.","Arch Pediatr Adolesc Med. 2010 Dec;164(12):1118-24. doi: 10.1001/archpediatrics.2010.229.","Arch Pediatr Adolesc Med.  2010","PubMed","citation","PMID:21135340 | PMCID:PMC3381649","pubmed","21135340","create date:2010/12/08 | first author:Rothman EF",
"Exposure to polyfluoroalkyl chemicals and attention deficit/hyperactivity disorder in U.S. children 12-15 years of age.","/pubmed/20551004","Hoffman K, Webster TF, Weisskopf MG, Weinberg J, Vieira VM.","Environ Health Perspect. 2010 Dec;118(12):1762-7. doi: 10.1289/ehp.1001898.","Environ Health Perspect.  2010","PubMed","citation","PMID:20551004 | PMCID:PMC3002197","pubmed","20551004","create date:2010/06/17 | first author:Hoffman K",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Power of permutation tests using generalized additive models with bivariate smoothers.","/pubmed/21701694","Bliss RY, Weinberg J, Vieira V, Ozonoff A, Webster TF.","J Biom Biostat. 2010 Sep 12;1(104). pii: 1000104.","J Biom Biostat.  2010","PubMed","citation","PMID:21701694 | PMCID:PMC3119353","pubmed","21701694","create date:2011/06/28 | first author:Bliss RY",
"A power comparison of generalized additive models and the spatial scan statistic in a case-control setting.","/pubmed/20642827","Young RL, Weinberg J, Vieira V, Ozonoff A, Webster TF.","Int J Health Geogr. 2010 Jul 19;9:37. doi: 10.1186/1476-072X-9-37.","Int J Health Geogr.  2010","PubMed","citation","PMID:20642827 | PMCID:PMC2918545","pubmed","20642827","create date:2010/07/21 | first author:Young RL",
"A multilevel non-hierarchical study of birth weight and socioeconomic status.","/pubmed/20618954","Young RL, Weinberg J, Vieira V, Aschengrau A, Webster TF.","Int J Health Geogr. 2010 Jul 9;9:36. doi: 10.1186/1476-072X-9-36.","Int J Health Geogr.  2010","PubMed","citation","PMID:20618954 | PMCID:PMC2909180","pubmed","20618954","create date:2010/07/14 | first author:Young RL",
"Association between residences in U.S. northern latitudes and rheumatoid arthritis: A spatial analysis of the Nurses' Health Study.","/pubmed/20338859","Vieira VM, Hart JE, Webster TF, Weinberg J, Puett R, Laden F, Costenbader KH, Karlson EW.","Environ Health Perspect. 2010 Jul;118(7):957-61. doi: 10.1289/ehp.0901861.","Environ Health Perspect.  2010","PubMed","citation","PMID:20338859 | PMCID:PMC2920915","pubmed","20338859","create date:2010/03/27 | first author:Vieira VM",
"High-normal serum uric acid increases risk of early progressive renal function loss in type 1 diabetes: results of a 6-year follow-up.","/pubmed/20332356","Ficociello LH, Rosolowsky ET, Niewczas MA, Maselli NJ, Weinberg JM, Aschengrau A, Eckfeldt JH, Stanton RC, Galecki AT, Doria A, Warram JH, Krolewski AS.","Diabetes Care. 2010 Jun;33(6):1337-43. doi: 10.2337/dc10-0227.","Diabetes Care.  2010","PubMed","citation","PMID:20332356 | PMCID:PMC2875450","pubmed","20332356","create date:2010/03/25 | first author:Ficociello LH",
"Spatial analysis of learning and developmental disorders in upper Cape Cod, Massachusetts using generalized additive models.","/pubmed/20152039","Hoffman K, Webster TF, Weinberg JM, Aschengrau A, Janulewicz PA, White RF, Vieira VM.","Int J Health Geogr. 2010 Feb 12;9:7. doi: 10.1186/1476-072X-9-7.","Int J Health Geogr.  2010","PubMed","citation","PMID:20152039 | PMCID:PMC2834578","pubmed","20152039","create date:2010/02/16 | first author:Hoffman K",
"Personal exposure, behavior, and work site conditions as determinants of blood lead among bridge painters.","/pubmed/19953411","Rodrigues EG, Virji MA, McClean MD, Weinberg J, Woskie S, Pepper LD.","J Occup Environ Hyg. 2010 Feb;7(2):80-7. doi: 10.1080/15459620903418316.","J Occup Environ Hyg.  2010","PubMed","citation","PMID:19953411 | PMCID:PMC2791321","pubmed","19953411","create date:2009/12/03 | first author:Rodrigues EG",
"Prenatal exposure to tetrachloroethylene-contaminated drinking water and the risk of congenital anomalies: a retrospective cohort study.","/pubmed/19778411","Aschengrau A, Weinberg JM, Janulewicz PA, Gallagher LG, Winter MR, Vieira VM, Webster TF, Ozonoff DM.","Environ Health. 2009 Sep 24;8:44. doi: 10.1186/1476-069X-8-44.","Environ Health.  2009","PubMed","citation","PMID:19778411 | PMCID:PMC2761868","pubmed","19778411","create date:2009/09/26 | first author:Aschengrau A",
"Renal hyperfiltration and the development of microalbuminuria in type 1 diabetes.","/pubmed/19196883","Ficociello LH, Perkins BA, Roshan B, Weinberg JM, Aschengrau A, Warram JH, Krolewski AS.","Diabetes Care. 2009 May;32(5):889-93. doi: 10.2337/dc08-1560.","Diabetes Care.  2009","PubMed","citation","PMID:19196883 | PMCID:PMC2671109","pubmed","19196883","create date:2009/02/07 | first author:Ficociello LH",
"Spatial analysis of bladder, kidney, and pancreatic cancer on upper Cape Cod: an application of generalized additive models to case-control data.","/pubmed/19208254","Vieira V, Webster T, Weinberg J, Aschengrau A.","Environ Health. 2009 Feb 10;8:3. doi: 10.1186/1476-069X-8-3.","Environ Health.  2009","PubMed","citation","PMID:19208254 | PMCID:PMC2652449","pubmed","19208254","create date:2009/02/12 | first author:Vieira V",
"Exposure to Tetrachloroethylene-Contaminated Drinking Water and the Risk of Pregnancy Loss.","/pubmed/20613966","Aschengrau A, Weinberg JM, Gallagher LG, Winter MR, Vieira VM, Webster TF, Ozonoff DM.","Water Qual Expo Health. 2009 Feb 1;1(1):23-34.","Water Qual Expo Health.  2009","PubMed","citation","PMID:20613966 | PMCID:PMC2897065","pubmed","20613966","create date:2009/02/01 | first author:Aschengrau A",
"Spatial-temporal analysis of breast cancer in upper Cape Cod, Massachusetts.","/pubmed/18700963","Vieira VM, Webster TF, Weinberg JM, Aschengrau A.","Int J Health Geogr. 2008 Aug 13;7:46. doi: 10.1186/1476-072X-7-46.","Int J Health Geogr.  2008","PubMed","citation","PMID:18700963 | PMCID:PMC2538515","pubmed","18700963","create date:2008/08/15 | first author:Vieira VM",
"Community- and individual-level socioeconomic status and breast cancer risk: multilevel modeling on Cape Cod, Massachusetts.","/pubmed/18709175","Webster TF, Hoffman K, Weinberg J, Vieira V, Aschengrau A.","Environ Health Perspect. 2008 Aug;116(8):1125-9. doi: 10.1289/ehp.10818.","Environ Health Perspect.  2008","PubMed","citation","PMID:18709175 | PMCID:PMC2516595","pubmed","18709175","create date:2008/08/19 | first author:Webster TF",
"Beryllium sensitization and lung function among former workers at the Nevada Test Site.","/pubmed/18459143","Rodrigues EG, McClean MD, Weinberg J, Pepper LD.","Am J Ind Med. 2008 Jul;51(7):512-23. doi: 10.1002/ajim.20585.","Am J Ind Med.  2008","PubMed","citation","PMID:18459143","pubmed","18459143","create date:2008/05/07 | first author:Rodrigues EG",
"Association of urinary phthalate metabolite concentrations with body mass index and waist circumference: a cross-sectional study of NHANES data, 1999-2002.","/pubmed/18522739","Hatch EE, Nelson JW, Qureshi MM, Weinberg J, Moore LL, Singer M, Webster TF.","Environ Health. 2008 Jun 3;7:27. doi: 10.1186/1476-069X-7-27.","Environ Health.  2008","PubMed","citation","PMID:18522739 | PMCID:PMC2440739","pubmed","18522739","create date:2008/06/05 | first author:Hatch EE",
