Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Generation of poikiloderma with neutropenia (PN) induced pluripotent stem cells (iPSCs).","/pubmed/26987923","Mills JA, Hudock KM, Sullivan SK, Herrera P, Sullivan LM, Gadue P, French DL.","Stem Cell Res. 2015 Nov;15(3):595-7. doi: 10.1016/j.scr.2015.10.006.","Stem Cell Res.  2015","PubMed","citation","PMID:26987923","pubmed","26987923","create date:2016/03/19 | first author:Mills JA",
"Correction: AAV-Mediated Gene Therapy for Choroideremia: Preclinical Studies in Personalized Models.","/pubmed/26090960","Vasireddy V, Mills JA, Gaddameedi R, Basner-Tschakarjan E, Kohnke M, Black AD, Alexandrov K, Zhou S, Maguire AM, Chung DC, Mac H, Sullivan L, Gadue P, Bennicelli JL, French DL, Bennett J.","PLoS One. 2015 Jun 19;10(6):e0129982. doi: 10.1371/journal.pone.0129982. No abstract available. ","PLoS One.  2015","PubMed","citation","PMID:26090960 | PMCID:PMC4474960","pubmed","26090960","create date:2015/06/20 | first author:Vasireddy V",
"Peptide spectra in Wilms tumor that associate with adverse outcomes.","/pubmed/25868780","Murphy AJ, Pierce J, Seeley EH, Sullivan LM, Ruchelli ED, Nance ML, Caprioli RM, Lovvorn HN 3rd.","J Surg Res. 2015 Jun 15;196(2):332-8. doi: 10.1016/j.jss.2015.03.020.","J Surg Res.  2015","PubMed","citation","PMID:25868780 | PMCID:PMC4599776","pubmed","25868780","create date:2015/04/15 | first author:Murphy AJ",
"SMARCB1-deficient Vulvar Neoplasms: A Clinicopathologic, Immunohistochemical, and Molecular Genetic Study of 14 Cases.","/pubmed/25651469","Folpe AL, Schoolmeester JK, McCluggage WG, Sullivan LM, Castagna K, Ahrens WA, Oliva E, Biegel JA, Nielsen GP.","Am J Surg Pathol. 2015 Jun;39(6):836-49. doi: 10.1097/PAS.0000000000000397.","Am J Surg Pathol.  2015","PubMed","citation","PMID:25651469","pubmed","25651469","create date:2015/02/05 | first author:Folpe AL",
"Pediatric Thyroid Carcinoma in Patients with Graves' Disease: The Role of Ultrasound in Selecting Patients for Definitive Therapy.","/pubmed/25896059","Kovatch KJ, Bauer AJ, Isaacoff EJ, Prickett KK, Adzick NS, Kazahaya K, Sullivan LM, Mostoufi-Moab S.","Horm Res Paediatr. 2015 Apr 15.","Horm Res Paediatr.  2015","PubMed","citation","PMID:25896059","pubmed","25896059","create date:2015/04/22 | first author:Kovatch KJ",
"Mortality among a national population sentenced to compulsory care for substance use disorders in Sweden: descriptive study.","/pubmed/25577663","Hall T, Chassler D, Blom B, Grahn R, Blom-Nilsson M, Sullivan L, Lundgren L.","Eval Program Plann. 2015 Apr;49:153-62. doi: 10.1016/j.evalprogplan.2014.12.013.","Eval Program Plann.  2015","PubMed","citation","PMID:25577663","pubmed","25577663","create date:2015/01/13 | first author:Hall T",
"Register data in the evaluation and program planning of addiction treatment programs: using Sweden as an example.","/pubmed/25577662","Blom B, Dukes KA, Lundgren L, Sullivan LM.","Eval Program Plann. 2015 Apr;49:185-91. doi: 10.1016/j.evalprogplan.2014.12.017.","Eval Program Plann.  2015","PubMed","citation","PMID:25577662","pubmed","25577662","create date:2015/01/13 | first author:Blom B",
"Using register data to examine patterns of compulsory addiction treatment care in Sweden: program planning and methodological implications.","/pubmed/25547476","Lundgren L, Blom B, Chassler D, Sullivan LM.","Eval Program Plann. 2015 Apr;49:149-52. doi: 10.1016/j.evalprogplan.2014.12.012. No abstract available. ","Eval Program Plann.  2015","PubMed","citation","PMID:25547476","pubmed","25547476","create date:2014/12/31 | first author:Lundgren L",
"Association of soda consumption with subclinical cardiac remodeling in the Framingham heart study.","/pubmed/25456096","Andersson C, Sullivan L, Benjamin EJ, Aragam J, Jacques P, Cheng S, Vasan RS.","Metabolism. 2015 Feb;64(2):208-12. doi: 10.1016/j.metabol.2014.10.009.","Metabolism.  2015","PubMed","citation","PMID:25456096 | PMCID:PMC4277910","pubmed","25456096","create date:2014/12/03 | first author:Andersson C",
"Genome-wide association study of L-arginine and dimethylarginines reveals novel metabolic pathway for symmetric dimethylarginine.","/pubmed/25245031","Lüneburg N, Lieb W, Zeller T, Chen MH, Maas R, Carter AM, Xanthakis V, Glazer NL, Schwedhelm E, Seshadri S, Ikram MA, Longstreth WT Jr, Fornage M, König IR, Loley C, Ojeda FM, Schillert A, Wang TJ, Sticht H, Kittel A, König J, Benjamin EJ, et al.","Circ Cardiovasc Genet. 2014 Dec;7(6):864-72. doi: 10.1161/CIRCGENETICS.113.000264.","Circ Cardiovasc Genet.  2014","PubMed","citation","PMID:25245031 | PMCID:PMC4797637","pubmed","25245031","create date:2014/09/24 | first author:Lüneburg N",
"Association of exhaled carbon monoxide with subclinical cardiovascular disease and their conjoint impact on the incidence of cardiovascular outcomes.","/pubmed/24574370","Cheng S, Enserro D, Xanthakis V, Sullivan LM, Murabito JM, Benjamin EJ, Polak JF, O'Donnell CJ, Wolf PA, O'Connor GT, Keaney JF, Vasan RS.","Eur Heart J. 2014 Nov 7;35(42):2980-7. doi: 10.1093/eurheartj/ehu052.","Eur Heart J.  2014","PubMed","citation","PMID:24574370 | PMCID:PMC4271053","pubmed","24574370","create date:2014/02/28 | first author:Cheng S",
"A sensitive and specific histopathologic prognostic marker for H3F3A K27M mutant pediatric glioblastomas.","/pubmed/25200322","Venneti S, Santi M, Felicella MM, Yarilin D, Phillips JJ, Sullivan LM, Martinez D, Perry A, Lewis PW, Thompson CB, Judkins AR.","Acta Neuropathol. 2014 Nov;128(5):743-53. doi: 10.1007/s00401-014-1338-3.","Acta Neuropathol.  2014","PubMed","citation","PMID:25200322 | PMCID:PMC4201755","pubmed","25200322","create date:2014/09/10 | first author:Venneti S",
"Baseline levels, and changes over time in body mass index and fasting insulin, and their relationship to change in metabolic trait clustering.","/pubmed/25007010","Rutter MK, Sullivan LM, Fox CS, Wilson PW, Nathan DM, Vasan RS, D'Agostino RB Sr, Meigs JB.","Metab Syndr Relat Disord. 2014 Sep;12(7):372-80. doi: 10.1089/met.2013.0148.","Metab Syndr Relat Disord.  2014","PubMed","citation","PMID:25007010 | PMCID:PMC4209491","pubmed","25007010","create date:2014/07/10 | first author:Rutter MK",
"The safe passage study: design, methods, recruitment, and follow-up approach.","/pubmed/25131605","Dukes KA, Burd L, Elliott AJ, Fifer WP, Folkerth RD, Hankins GD, Hereld D, Hoffman HJ, Myers MM, Odendaal HJ, Signore C, Sullivan LM, Willinger M, Wright C, Kinney HC; PASS Research Network..","Paediatr Perinat Epidemiol. 2014 Sep;28(5):455-65. doi: 10.1111/ppe.12136.","Paediatr Perinat Epidemiol.  2014","PubMed","citation","PMID:25131605 | PMCID:PMC4286367","pubmed","25131605","create date:2014/08/19 | first author:Dukes KA",
"Assessing the incremental predictive performance of novel biomarkers over standard predictors.","/pubmed/24719270","Xanthakis V, Sullivan LM, Vasan RS, Benjamin EJ, Massaro JM, D'Agostino RB Sr, Pencina MJ.","Stat Med. 2014 Jul 10;33(15):2577-84. doi: 10.1002/sim.6165.","Stat Med.  2014","PubMed","citation","PMID:24719270 | PMCID:PMC4047140","pubmed","24719270","create date:2014/04/11 | first author:Xanthakis V",
"Association of sex hormones, aging, and atrial fibrillation in men: the Framingham Heart Study.","/pubmed/24610804","Magnani JW, Moser CB, Murabito JM, Sullivan LM, Wang N, Ellinor PT, Vasan RS, Benjamin EJ, Coviello AD.","Circ Arrhythm Electrophysiol. 2014 Apr;7(2):307-12. doi: 10.1161/CIRCEP.113.001322.","Circ Arrhythm Electrophysiol.  2014","PubMed","citation","PMID:24610804 | PMCID:PMC4035016","pubmed","24610804","create date:2014/03/13 | first author:Magnani JW",
"Ectopic production of β-hCG by osteosarcoma: a case report and review of the literature.","/pubmed/24072248","Oshrine BR, Sullivan LM, Balamuth NJ.","J Pediatr Hematol Oncol. 2014 Apr;36(3):e202-6. doi: 10.1097/MPH.0000000000000037. Review.","J Pediatr Hematol Oncol.  2014","PubMed","citation","PMID:24072248","pubmed","24072248","create date:2013/09/28 | first author:Oshrine BR",
"High-level transgene expression in induced pluripotent stem cell-derived megakaryocytes: correction of Glanzmann thrombasthenia.","/pubmed/24335497","Sullivan SK, Mills JA, Koukouritaki SB, Vo KK, Lyde RB, Paluru P, Zhao G, Zhai L, Sullivan LM, Wang Y, Kishore S, Gharaibeh EZ, Lambert MP, Wilcox DA, French DL, Poncz M, Gadue P.","Blood. 2014 Jan 30;123(5):753-7. doi: 10.1182/blood-2013-10-530725.","Blood.  2014","PubMed","citation","PMID:24335497 | PMCID:PMC3907760","pubmed","24335497","create date:2013/12/18 | first author:Sullivan SK",
"Significant immunohistochemical expression of human chorionic gonadotropin in high-grade osteosarcoma is rare, but may be associated with clinically elevated serum levels.","/pubmed/24856811","Lee AF, Pawel BR, Sullivan LM.","Pediatr Dev Pathol. 2014 Jul-Aug;17(4):278-85. doi: 10.2350/14-02-1436-OA.1.","Pediatr Dev Pathol.  2014","PubMed","citation","PMID:24856811","pubmed","24856811","create date:2014/05/27 | first author:Lee AF",
"Effective practices for teaching the biostatistics core course for the MPH using a competency-based approach.","/pubmed/24982544","Sullivan LM, Hooper L, Begg MD.","Public Health Rep. 2014 Jul-Aug;129(4):381-92. No abstract available. ","Public Health Rep.  2014","PubMed","citation","PMID:24982544 | PMCID:PMC4037466","pubmed","24982544","create date:2014/07/02 | first author:Sullivan LM",
"Integrating competencies and learning outcomes in core courses for the MPH.","/pubmed/24982543","Hooper L, Begg MD, Sullivan LM.","Public Health Rep. 2014 Jul-Aug;129(4):376-81. No abstract available. ","Public Health Rep.  2014","PubMed","citation","PMID:24982543 | PMCID:PMC4037465","pubmed","24982543","create date:2014/07/02 | first author:Hooper L",
"Multilevel modeling versus cross-sectional analysis for assessing the longitudinal tracking of cardiovascular risk factors over time.","/pubmed/23784950","Xanthakis V, Sullivan LM, Vasan RS.","Stat Med. 2013 Dec 10;32(28):5028-38. doi: 10.1002/sim.5880.","Stat Med.  2013","PubMed","citation","PMID:23784950 | PMCID:PMC4068405","pubmed","23784950","create date:2013/06/21 | first author:Xanthakis V",
"Baseline factors predicting placebo response to treatment in children and adolescents with autism spectrum disorders: a multisite randomized clinical trial.","/pubmed/24061784","King BH, Dukes K, Donnelly CL, Sikich L, McCracken JT, Scahill L, Hollander E, Bregman JD, Anagnostou E, Robinson F, Sullivan L, Hirtz D.","JAMA Pediatr. 2013 Nov;167(11):1045-52. doi: 10.1001/jamapediatrics.2013.2698.","JAMA Pediatr.  2013","PubMed","citation","PMID:24061784 | PMCID:PMC4913472","pubmed","24061784","create date:2013/09/26 | first author:King BH",
"The alternative lengthening of telomere phenotype is significantly associated with loss of ATRX expression in high-grade pediatric and adult astrocytomas: a multi-institutional study of 214 astrocytomas.","/pubmed/23765250","Abedalthagafi M, Phillips JJ, Kim GE, Mueller S, Haas-Kogen DA, Marshall RE, Croul SE, Santi MR, Cheng J, Zhou S, Sullivan LM, Martinez-Lage M, Judkins AR, Perry A.","Mod Pathol. 2013 Nov;26(11):1425-32. doi: 10.1038/modpathol.2013.90.","Mod Pathol.  2013","PubMed","citation","PMID:23765250","pubmed","23765250","create date:2013/06/15 | first author:Abedalthagafi M",
"Plan B: access to emergency contraception in the legal and political cross hairs.","/pubmed/23993430","Cohen IG, Sullivan L, Adashi EY.","Contraception. 2013 Oct;88(4):477-80. doi: 10.1016/j.contraception.2013.07.005. No abstract available. ","Contraception.  2013","PubMed","citation","PMID:23993430","pubmed","23993430","create date:2013/09/03 | first author:Cohen IG",
"Clonal genetic and hematopoietic heterogeneity among human-induced pluripotent stem cell lines.","/pubmed/23940280","Mills JA, Wang K, Paluru P, Ying L, Lu L, Galvão AM, Xu D, Yao Y, Sullivan SK, Sullivan LM, Mac H, Omari A, Jean JC, Shen S, Gower A, Spira A, Mostoslavsky G, Kotton DN, French DL, Weiss MJ, Gadue P.","Blood. 2013 Sep 19;122(12):2047-51. doi: 10.1182/blood-2013-02-484444.","Blood.  2013","PubMed","citation","PMID:23940280 | PMCID:PMC3778548","pubmed","23940280","create date:2013/08/14 | first author:Mills JA",
"Atrial fibrillation patterns and risks of subsequent stroke, heart failure, or death in the community.","/pubmed/24002369","Lubitz SA, Moser C, Sullivan L, Rienstra M, Fontes JD, Villalon ML, Pai M, McManus DD, Schnabel RB, Magnani JW, Yin X, Levy D, Pencina MJ, Larson MG, Ellinor PT, Benjamin EJ.","J Am Heart Assoc. 2013 Sep 3;2(5):e000126. doi: 10.1161/JAHA.113.000126.","J Am Heart Assoc.  2013","PubMed","citation","PMID:24002369 | PMCID:PMC3835216","pubmed","24002369","create date:2013/09/05 | first author:Lubitz SA",
"PDGFRA amplification is common in pediatric and adult high-grade astrocytomas and identifies a poor prognostic group in IDH1 mutant glioblastoma.","/pubmed/23438035","Phillips JJ, Aranda D, Ellison DW, Judkins AR, Croul SE, Brat DJ, Ligon KL, Horbinski C, Venneti S, Zadeh G, Santi M, Zhou S, Appin CL, Sioletic S, Sullivan LM, Martinez-Lage M, Robinson AE, Yong WH, Cloughesy T, Lai A, Phillips HS, Marshall R, et al.","Brain Pathol. 2013 Sep;23(5):565-73. doi: 10.1111/bpa.12043.","Brain Pathol.  2013","PubMed","citation","PMID:23438035 | PMCID:PMC3715570","pubmed","23438035","create date:2013/02/27 | first author:Phillips JJ",
"Evaluation of histone 3 lysine 27 trimethylation (H3K27me3) and enhancer of Zest 2 (EZH2) in pediatric glial and glioneuronal tumors shows decreased H3K27me3 in H3F3A K27M mutant glioblastomas.","/pubmed/23414300","Venneti S, Garimella MT, Sullivan LM, Martinez D, Huse JT, Heguy A, Santi M, Thompson CB, Judkins AR.","Brain Pathol. 2013 Sep;23(5):558-64. doi: 10.1111/bpa.12042.","Brain Pathol.  2013","PubMed","citation","PMID:23414300 | PMCID:PMC3701028","pubmed","23414300","create date:2013/02/19 | first author:Venneti S",
"Ribosomal and hematopoietic defects in induced pluripotent stem cells derived from Diamond Blackfan anemia patients.","/pubmed/23744582","Garçon L, Ge J, Manjunath SH, Mills JA, Apicella M, Parikh S, Sullivan LM, Podsakoff GM, Gadue P, French DL, Mason PJ, Bessler M, Weiss MJ.","Blood. 2013 Aug 8;122(6):912-21. doi: 10.1182/blood-2013-01-478321.","Blood.  2013","PubMed","citation","PMID:23744582 | PMCID:PMC3739037","pubmed","23744582","create date:2013/06/08 | first author:Garçon L",
"Risk assessment for incident heart failure in individuals with atrial fibrillation.","/pubmed/23594831","Schnabel RB, Rienstra M, Sullivan LM, Sun JX, Moser CB, Levy D, Pencina MJ, Fontes JD, Magnani JW, McManus DD, Lubitz SA, Tadros TM, Wang TJ, Ellinor PT, Vasan RS, Benjamin EJ.","Eur J Heart Fail. 2013 Aug;15(8):843-9. doi: 10.1093/eurjhf/hft041.","Eur J Heart Fail.  2013","PubMed","citation","PMID:23594831 | PMCID:PMC3858114","pubmed","23594831","create date:2013/04/19 | first author:Schnabel RB",
"AAV-mediated gene therapy for choroideremia: preclinical studies in personalized models.","/pubmed/23667438","Vasireddy V, Mills JA, Gaddameedi R, Basner-Tschakarjan E, Kohnke M, Black AD, Alexandrov K, Zhou S, Maguire AM, Chung DC, Mac H, Sullivan L, Gadue P, Bennicelli JL, French DL, Bennett J.","PLoS One. 2013;8(5):e61396. doi: 10.1371/journal.pone.0061396. Erratum in: PLoS One. 2015;10(6):e0129982. ","PLoS One.  2013","PubMed","citation","PMID:23667438 | PMCID:PMC3646845","pubmed","23667438","create date:2013/05/15 | first author:Vasireddy V",
"Association of sex steroids, gonadotrophins, and their trajectories with clinical cardiovascular disease and all-cause mortality in elderly men from the Framingham Heart Study.","/pubmed/22901104","Haring R, Teng Z, Xanthakis V, Coviello A, Sullivan L, Bhasin S, Murabito JM, Wallaschofski H, Vasan RS.","Clin Endocrinol (Oxf). 2013 Apr;78(4):629-34. doi: 10.1111/cen.12013.","Clin Endocrinol (Oxf).  2013","PubMed","citation","PMID:22901104 | PMCID:PMC4161203","pubmed","22901104","create date:2012/08/21 | first author:Haring R",
"Histone 3 lysine 9 trimethylation is differentially associated with isocitrate dehydrogenase mutations in oligodendrogliomas and high-grade astrocytomas.","/pubmed/23481705","Venneti S, Felicella MM, Coyne T, Phillips JJ, Gorovets D, Huse JT, Kofler J, Lu C, Tihan T, Sullivan LM, Santi M, Judkins AR, Perry A, Thompson CB.","J Neuropathol Exp Neurol. 2013 Apr;72(4):298-306. doi: 10.1097/NEN.0b013e3182898113.","J Neuropathol Exp Neurol.  2013","PubMed","citation","PMID:23481705 | PMCID:PMC3615673","pubmed","23481705","create date:2013/03/14 | first author:Venneti S",
"Epithelioid sarcoma is associated with a high percentage of SMARCB1 deletions.","/pubmed/23060122","Sullivan LM, Folpe AL, Pawel BR, Judkins AR, Biegel JA.","Mod Pathol. 2013 Mar;26(3):385-92. doi: 10.1038/modpathol.2012.175.","Mod Pathol.  2013","PubMed","citation","PMID:23060122 | PMCID:PMC3556344","pubmed","23060122","create date:2012/10/13 | first author:Sullivan LM",
"Relation of circulating liver transaminase concentrations to risk of new-onset atrial fibrillation.","/pubmed/23127690","Sinner MF, Wang N, Fox CS, Fontes JD, Rienstra M, Magnani JW, Vasan RS, Calderwood AH, Pencina M, Sullivan LM, Ellinor PT, Benjamin EJ.","Am J Cardiol. 2013 Jan 15;111(2):219-24. doi: 10.1016/j.amjcard.2012.09.021.","Am J Cardiol.  2013","PubMed","citation","PMID:23127690 | PMCID:PMC3538882","pubmed","23127690","create date:2012/11/07 | first author:Sinner MF",
"Low serum magnesium and the development of atrial fibrillation in the community: the Framingham Heart Study.","/pubmed/23172839","Khan AM, Lubitz SA, Sullivan LM, Sun JX, Levy D, Vasan RS, Magnani JW, Ellinor PT, Benjamin EJ, Wang TJ.","Circulation. 2013 Jan 1;127(1):33-8. doi: 10.1161/CIRCULATIONAHA.111.082511.","Circulation.  2013","PubMed","citation","PMID:23172839 | PMCID:PMC3541701","pubmed","23172839","create date:2012/11/23 | first author:Khan AM",
"Organizational readiness for change in community-based addiction treatment programs and adherence in implementing evidence-based practices: a national study.","/pubmed/23928378","Lundgren L, Amodeo M, Chassler D, Krull I, Sullivan L.","J Subst Abuse Treat. 2013 Nov-Dec;45(5):457-65. doi: 10.1016/j.jsat.2013.06.007.","J Subst Abuse Treat.  2013","PubMed","citation","PMID:23928378","pubmed","23928378","create date:2013/08/10 | first author:Lundgren L",
"Portal and sinusoidal fibrosis are common on liver biopsy after Fontan surgery.","/pubmed/22695765","Schwartz MC, Sullivan LM, Glatz AC, Rand E, Russo P, Goldberg DJ, Rome JJ, Cohen MS.","Pediatr Cardiol. 2013 Jan;34(1):135-42. doi: 10.1007/s00246-012-0402-9.","Pediatr Cardiol.  2013","PubMed","citation","PMID:22695765","pubmed","22695765","create date:2012/06/15 | first author:Schwartz MC",
"Immunohistochemical expression of glypican-3 in pediatric tumors: an analysis of 414 cases.","/pubmed/23530909","Chan ES, Pawel BR, Corao DA, Venneti S, Russo P, Santi M, Sullivan LM.","Pediatr Dev Pathol. 2013 Jul-Aug;16(4):272-7. doi: 10.2350/12-06-1216-OA.1.","Pediatr Dev Pathol.  2013","PubMed","citation","PMID:23530909","pubmed","23530909","create date:2013/03/28 | first author:Chan ES",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Blood pressure tracking over the adult life course: patterns and correlates in the Framingham heart study.","/pubmed/23108660","Cheng S, Xanthakis V, Sullivan LM, Vasan RS.","Hypertension. 2012 Dec;60(6):1393-9. doi: 10.1161/HYPERTENSIONAHA.112.201780.","Hypertension.  2012","PubMed","citation","PMID:23108660 | PMCID:PMC3499677","pubmed","23108660","create date:2012/10/31 | first author:Cheng S",
"Cardiometabolic correlates and heritability of fetuin-A, retinol-binding protein 4, and fatty-acid binding protein 4 in the Framingham Heart Study.","/pubmed/22855337","Kaess BM, Enserro DM, McManus DD, Xanthakis V, Chen MH, Sullivan LM, Ingram C, O'Donnell CJ, Keaney JF, Vasan RS, Glazer NL.","J Clin Endocrinol Metab. 2012 Oct;97(10):E1943-7. doi: 10.1210/jc.2012-1458.","J Clin Endocrinol Metab.  2012","PubMed","citation","PMID:22855337 | PMCID:PMC3674297","pubmed","22855337","create date:2012/08/03 | first author:Kaess BM",
"Age of natural menopause and atrial fibrillation: the Framingham Heart Study.","/pubmed/22520541","Magnani JW, Moser CB, Murabito JM, Nelson KP, Fontes JD, Lubitz SA, Sullivan LM, Ellinor PT, Benjamin EJ.","Am Heart J. 2012 Apr;163(4):729-34. doi: 10.1016/j.ahj.2012.01.010.","Am Heart J.  2012","PubMed","citation","PMID:22520541 | PMCID:PMC3334861","pubmed","22520541","create date:2012/04/24 | first author:Magnani JW",
"Circulating vascular growth factors and central hemodynamic load in the community.","/pubmed/22371357","Zachariah JP, Xanthakis V, Larson MG, Vita JA, Sullivan LM, Smith HM, Safa R, Peng X, Hamburg N, Levy D, Sawyer DB, Mitchell GF, Vasan RS.","Hypertension. 2012 Apr;59(4):773-9. doi: 10.1161/HYPERTENSIONAHA.111.179242.","Hypertension.  2012","PubMed","citation","PMID:22371357 | PMCID:PMC3336212","pubmed","22371357","create date:2012/03/01 | first author:Zachariah JP",
"Barriers to implementation of evidence-based addiction treatment: a national study.","/pubmed/22000323","Lundgren L, Chassler D, Amodeo M, D'Ippolito M, Sullivan L.","J Subst Abuse Treat. 2012 Apr;42(3):231-8. doi: 10.1016/j.jsat.2011.08.003.","J Subst Abuse Treat.  2012","PubMed","citation","PMID:22000323","pubmed","22000323","create date:2011/10/18 | first author:Lundgren L",
"Hepatic pathology may develop before the Fontan operation in children with functional single ventricle: an autopsy study.","/pubmed/21955477","Schwartz MC, Sullivan L, Cohen MS, Russo P, John AS, Guo R, Guttenberg M, Rand EB.","J Thorac Cardiovasc Surg. 2012 Apr;143(4):904-9. doi: 10.1016/j.jtcvs.2011.08.038.","J Thorac Cardiovasc Surg.  2012","PubMed","citation","PMID:21955477","pubmed","21955477","create date:2011/10/01 | first author:Schwartz MC",
"Design and subject characteristics in the federally-funded citalopram trial in children with pervasive developmental disorders.","/pubmed/21667200","Scahill L, McCracken JT, Bearss K, Robinson F, Hollander E, King B, Bregman J, Sikich L, Dukes K, Sullivan L, Anagnostou E, Donnelly C, Kim YS, Ritz L, Hirtz D, Wagner A.","J Autism Dev Disord. 2012 Mar;42(3):432-40. doi: 10.1007/s10803-011-1251-8.","J Autism Dev Disord.  2012","PubMed","citation","PMID:21667200","pubmed","21667200","create date:2011/06/15 | first author:Scahill L",
"White blood cell count and risk of incident atrial fibrillation (from the Framingham Heart Study).","/pubmed/22100030","Rienstra M, Sun JX, Magnani JW, Sinner MF, Lubitz SA, Sullivan LM, Ellinor PT, Benjamin EJ.","Am J Cardiol. 2012 Feb 15;109(4):533-7. doi: 10.1016/j.amjcard.2011.09.049.","Am J Cardiol.  2012","PubMed","citation","PMID:22100030 | PMCID:PMC3270118","pubmed","22100030","create date:2011/11/22 | first author:Rienstra M",
