Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Gene-based analysis of the fibroblast growth factor receptor signaling pathway in relation to breast cancer in African American women: the AMBER consortium.","/pubmed/26743380","Ruiz-Narváez EA, Haddad SA, Lunetta KL, Yao S, Bensen JT, Sucheston-Campbell LE, Hong CC, Haiman CA, Olshan AF, Ambrosone CB, Palmer JR.","Breast Cancer Res Treat. 2016 Jan;155(2):355-63. doi: 10.1007/s10549-015-3672-0.","Breast Cancer Res Treat.  2016","PubMed","citation","PMID:26743380 | PMCID:PMC4890604","pubmed","26743380","create date:2016/01/09 | first author:Ruiz-Narváez EA",
"Genetic variants in the mTOR pathway and breast cancer risk in African American women.","/pubmed/26577839","Cheng TY, Ambrosone CB, Hong CC, Lunetta KL, Liu S, Hu Q, Yao S, Sucheston-Campbell L, Bandera EV, Ruiz-Narváez EA, Haddad S, Troester MA, Haiman CA, Bensen JT, Olshan AF, Palmer JR, Rosenberg L.","Carcinogenesis. 2016 Jan;37(1):49-55. doi: 10.1093/carcin/bgv160.","Carcinogenesis.  2016","PubMed","citation","PMID:26577839 | PMCID:PMC5006112","pubmed","26577839","create date:2015/11/19 | first author:Cheng TY",
"Phenotypically Enriched Genotypic Imputation in Genetic Association Tests.","/pubmed/27576319","Zhuang WV, Murabito JM, Lunetta KL.","Hum Hered. 2016;81(1):35-45.","Hum Hered.  2016","PubMed","citation","PMID:27576319","pubmed","27576319","create date:2016/10/19 | first author:Zhuang WV",
"A novel Alzheimer disease locus located near the gene encoding tau protein.","/pubmed/25778476","Jun G, Ibrahim-Verbaas CA, Vronskaya M, Lambert JC, Chung J, Naj AC, Kunkle BW, Wang LS, Bis JC, Bellenguez C, Harold D, Lunetta KL, Destefano AL, Grenier-Boley B, Sims R, Beecham GW, Smith AV, Chouraki V, Hamilton-Nelson KL, Ikram MA, Fievet N, Denning N, et al.","Mol Psychiatry. 2016 Jan;21(1):108-17. doi: 10.1038/mp.2015.23.","Mol Psychiatry.  2016","PubMed","citation","PMID:25778476 | PMCID:PMC4573764","pubmed","25778476","create date:2015/03/18 | first author:Jun G",
"Corrigendum: Rare coding variants and X-linked loci associated with age at menarche.","/pubmed/26674845","Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C, Huffman JE, Mihailov E, Porcu E, Robino A, Rose LM, Schick UM, Stolk L, Teumer A, Thompson DJ, Traglia M, Wang CA, Yerges-Armstrong LM, et al.","Nat Commun. 2015 Dec 17;6:10257. doi: 10.1038/ncomms10257. No abstract available. ","Nat Commun.  2015","PubMed","citation","PMID:26674845 | PMCID:PMC4703878","pubmed","26674845","create date:2015/12/18 | first author:Lunetta KL",
"Hormone-related pathways and risk of breast cancer subtypes in African American women.","/pubmed/26458823","Haddad SA, Lunetta KL, Ruiz-Narváez EA, Bensen JT, Hong CC, Sucheston-Campbell LE, Yao S, Bandera EV, Rosenberg L, Haiman CA, Troester MA, Ambrosone CB, Palmer JR.","Breast Cancer Res Treat. 2015 Nov;154(1):145-54. doi: 10.1007/s10549-015-3594-x.","Breast Cancer Res Treat.  2015","PubMed","citation","PMID:26458823","pubmed","26458823","create date:2015/10/16 | first author:Haddad SA",
"Association of Long Runs of Homozygosity With Alzheimer Disease Among African American Individuals.","/pubmed/26366463","Ghani M, Reitz C, Cheng R, Vardarajan BN, Jun G, Sato C, Naj A, Rajbhandary R, Wang LS, Valladares O, Lin CF, Larson EB, Graff-Radford NR, Evans D, De Jager PL, Crane PK, Buxbaum JD, Murrell JR, Raj T, Ertekin-Taner N, Logue M, Baldwin CT, et al.","JAMA Neurol. 2015 Nov;72(11):1313-23. doi: 10.1001/jamaneurol.2015.1700.","JAMA Neurol.  2015","PubMed","citation","PMID:26366463 | PMCID:PMC4641052","pubmed","26366463","create date:2015/09/15 | first author:Ghani M",
"Large-scale genomic analyses link reproductive aging to hypothalamic signaling, breast cancer susceptibility and BRCA1-mediated DNA repair.","/pubmed/26414677","Day FR, Ruth KS, Thompson DJ, Lunetta KL, Pervjakova N, Chasman DI, Stolk L, Finucane HK, Sulem P, Bulik-Sullivan B, Esko T, Johnson AD, Elks CE, Franceschini N, He C, Altmaier E, Brody JA, Franke LL, Huffman JE, Keller MF, McArdle PF, Nutile T, et al.","Nat Genet. 2015 Nov;47(11):1294-303. doi: 10.1038/ng.3412.","Nat Genet.  2015","PubMed","citation","PMID:26414677 | PMCID:PMC4661791","pubmed","26414677","create date:2015/09/29 | first author:Day FR",
"Gene expression markers of age-related inflammation in two human cohorts.","/pubmed/26087330","Pilling LC, Joehanes R, Melzer D, Harries LW, Henley W, Dupuis J, Lin H, Mitchell M, Hernandez D, Ying SX, Lunetta KL, Benjamin EJ, Singleton A, Levy D, Munson P, Murabito JM, Ferrucci L.","Exp Gerontol. 2015 Oct;70:37-45. doi: 10.1016/j.exger.2015.05.012.","Exp Gerontol.  2015","PubMed","citation","PMID:26087330 | PMCID:PMC4600657","pubmed","26087330","create date:2015/06/19 | first author:Pilling LC",
"Rare coding variants and X-linked loci associated with age at menarche.","/pubmed/26239645","Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C, Huffman JE, Mihailov E, Porcu E, Robino A, Rose LM, Schick UM, Stolk L, Teumer A, Thompson DJ, Traglia M, Wang CA, Yerges-Armstrong LM, et al.","Nat Commun. 2015 Aug 4;6:7756. doi: 10.1038/ncomms8756. Erratum in: Nat Commun. 2015;6:10257. ","Nat Commun.  2015","PubMed","citation","PMID:26239645 | PMCID:PMC4538850","pubmed","26239645","create date:2015/08/05 | first author:Lunetta KL",
"Genome-Wide Association Study and Linkage Analysis of the Healthy Aging Index.","/pubmed/25758594","Minster RL, Sanders JL, Singh J, Kammerer CM, Barmada MM, Matteini AM, Zhang Q, Wojczynski MK, Daw EW, Brody JA, Arnold AM, Lunetta KL, Murabito JM, Christensen K, Perls TT, Province MA, Newman AB.","J Gerontol A Biol Sci Med Sci. 2015 Aug;70(8):1003-8. doi: 10.1093/gerona/glv006.","J Gerontol A Biol Sci Med Sci.  2015","PubMed","citation","PMID:25758594 | PMCID:PMC4506316","pubmed","25758594","create date:2015/03/12 | first author:Minster RL",
"Protective variant for hippocampal atrophy identified by whole exome sequencing.","/pubmed/25559091","Nho K, Kim S, Risacher SL, Shen L, Corneveaux JJ, Swaminathan S, Lin H, Ramanan VK, Liu Y, Foroud TM, Inlow MH, Siniard AL, Reiman RA, Aisen PS, Petersen RC, Green RC, Jack CR Jr, Weiner MW, Baldwin CT, Lunetta KL, Farrer LA; MIRAGE (Multi-Institutional Research on Alzheimer Genetic Epidemiology) Study., et al.","Ann Neurol. 2015 Mar;77(3):547-52. doi: 10.1002/ana.24349.","Ann Neurol.  2015","PubMed","citation","PMID:25559091 | PMCID:PMC4387567","pubmed","25559091","create date:2015/01/07 | first author:Nho K",
"A case-control analysis of oral contraceptive use and breast cancer subtypes in the African American Breast Cancer Epidemiology and Risk Consortium.","/pubmed/25849024","Bethea TN, Rosenberg L, Hong CC, Troester MA, Lunetta KL, Bandera EV, Schedin P, Kolonel LN, Olshan AF, Ambrosone CB, Palmer JR.","Breast Cancer Res. 2015 Feb 21;17:22. doi: 10.1186/s13058-015-0535-x.","Breast Cancer Res.  2015","PubMed","citation","PMID:25849024 | PMCID:PMC4358874","pubmed","25849024","create date:2015/04/08 | first author:Bethea TN",
"Rarity of the Alzheimer disease-protective APP A673T variant in the United States.","/pubmed/25531812","Wang LS, Naj AC, Graham RR, Crane PK, Kunkle BW, Cruchaga C, Murcia JD, Cannon-Albright L, Baldwin CT, Zetterberg H, Blennow K, Kukull WA, Faber KM, Schupf N, Norton MC, Tschanz JT, Munger RG, Corcoran CD, Rogaeva E; Alzheimer's Disease Genetics Consortium., Lin CF, Dombroski BA, et al.","JAMA Neurol. 2015 Feb;72(2):209-16. doi: 10.1001/jamaneurol.2014.2157.","JAMA Neurol.  2015","PubMed","citation","PMID:25531812 | PMCID:PMC4324097","pubmed","25531812","create date:2014/12/23 | first author:Wang LS",
"DNA methylation age of blood predicts all-cause mortality in later life.","/pubmed/25633388","Marioni RE, Shah S, McRae AF, Chen BH, Colicino E, Harris SE, Gibson J, Henders AK, Redmond P, Cox SR, Pattie A, Corley J, Murphy L, Martin NG, Montgomery GW, Feinberg AP, Fallin MD, Multhaup ML, Jaffe AE, Joehanes R, Schwartz J, Just AC, et al.","Genome Biol. 2015 Jan 30;16:25. doi: 10.1186/s13059-015-0584-6.","Genome Biol.  2015","PubMed","citation","PMID:25633388 | PMCID:PMC4350614","pubmed","25633388","create date:2015/01/31 | first author:Marioni RE",
"GWAS of longevity in CHARGE consortium confirms APOE and FOXO3 candidacy.","/pubmed/25199915","Broer L, Buchman AS, Deelen J, Evans DS, Faul JD, Lunetta KL, Sebastiani P, Smith JA, Smith AV, Tanaka T, Yu L, Arnold AM, Aspelund T, Benjamin EJ, De Jager PL, Eirkisdottir G, Evans DA, Garcia ME, Hofman A, Kaplan RC, Kardia SL, Kiel DP, et al.","J Gerontol A Biol Sci Med Sci. 2015 Jan;70(1):110-8. doi: 10.1093/gerona/glu166.","J Gerontol A Biol Sci Med Sci.  2015","PubMed","citation","PMID:25199915 | PMCID:PMC4296168","pubmed","25199915","create date:2014/09/10 | first author:Broer L",
"Genetic diversity is a predictor of mortality in humans.","/pubmed/25543667","Bihlmeyer NA, Brody JA, Smith AV, Lunetta KL, Nalls M, Smith JA, Tanaka T, Davies G, Yu L, Mirza SS, Teumer A, Coresh J, Pankow JS, Franceschini N, Scaria A, Oshima J, Psaty BM, Gudnason V, Eiriksdottir G, Harris TB, Li H, Karasik D, et al.","BMC Genet. 2014 Dec 29;15:159. doi: 10.1186/s12863-014-0159-7.","BMC Genet.  2014","PubMed","citation","PMID:25543667 | PMCID:PMC4301661","pubmed","25543667","create date:2014/12/30 | first author:Bihlmeyer NA",
"Genome-wide association study of L-arginine and dimethylarginines reveals novel metabolic pathway for symmetric dimethylarginine.","/pubmed/25245031","Lüneburg N, Lieb W, Zeller T, Chen MH, Maas R, Carter AM, Xanthakis V, Glazer NL, Schwedhelm E, Seshadri S, Ikram MA, Longstreth WT Jr, Fornage M, König IR, Loley C, Ojeda FM, Schillert A, Wang TJ, Sticht H, Kittel A, König J, Benjamin EJ, et al.","Circ Cardiovasc Genet. 2014 Dec;7(6):864-72. doi: 10.1161/CIRCGENETICS.113.000264.","Circ Cardiovasc Genet.  2014","PubMed","citation","PMID:25245031 | PMCID:PMC4797637","pubmed","25245031","create date:2014/09/24 | first author:Lüneburg N",
"Whole blood gene expression and interleukin-6 levels.","/pubmed/25311648","Lin H, Joehanes R, Pilling LC, Dupuis J, Lunetta KL, Ying SX, Benjamin EJ, Hernandez D, Singleton A, Melzer D, Munson PJ, Levy D, Ferrucci L, Murabito JM.","Genomics. 2014 Dec;104(6 Pt B):490-5. doi: 10.1016/j.ygeno.2014.10.003.","Genomics.  2014","PubMed","citation","PMID:25311648 | PMCID:PMC4262595","pubmed","25311648","create date:2014/10/15 | first author:Lin H",
"Effects of multiple genetic loci on age at onset in late-onset Alzheimer disease: a genome-wide association study.","/pubmed/25199842","Naj AC, Jun G, Reitz C, Kunkle BW, Perry W, Park YS, Beecham GW, Rajbhandary RA, Hamilton-Nelson KL, Wang LS, Kauwe JS, Huentelman MJ, Myers AJ, Bird TD, Boeve BF, Baldwin CT, Jarvik GP, Crane PK, Rogaeva E, Barmada MM, Demirci FY, Cruchaga C, et al.","JAMA Neurol. 2014 Nov;71(11):1394-404. doi: 10.1001/jamaneurol.2014.1491. Erratum in: JAMA Neurol. 2014 Nov;71(11):1457. ","JAMA Neurol.  2014","PubMed","citation","PMID:25199842 | PMCID:PMC4314944","pubmed","25199842","create date:2014/09/10 | first author:Naj AC",
"Integrating genetic, transcriptional, and functional analyses to identify 5 novel genes for atrial fibrillation.","/pubmed/25124494","Sinner MF, Tucker NR, Lunetta KL, Ozaki K, Smith JG, Trompet S, Bis JC, Lin H, Chung MK, Nielsen JB, Lubitz SA, Krijthe BP, Magnani JW, Ye J, Gollob MH, Tsunoda T, Müller-Nurasyid M, Lichtner P, Peters A, Dolmatova E, Kubo M, Smith JD, et al.","Circulation. 2014 Oct 7;130(15):1225-35. doi: 10.1161/CIRCULATIONAHA.114.009892.","Circulation.  2014","PubMed","citation","PMID:25124494 | PMCID:PMC4190011","pubmed","25124494","create date:2014/08/16 | first author:Sinner MF",
"Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche.","/pubmed/25231870","Perry JR, Day F, Elks CE, Sulem P, Thompson DJ, Ferreira T, He C, Chasman DI, Esko T, Thorleifsson G, Albrecht E, Ang WQ, Corre T, Cousminer DL, Feenstra B, Franceschini N, Ganna A, Johnson AD, Kjellqvist S, Lunetta KL, McMahon G, Nolte IM, et al.","Nature. 2014 Oct 2;514(7520):92-7. doi: 10.1038/nature13545.","Nature.  2014","PubMed","citation","PMID:25231870 | PMCID:PMC4185210","pubmed","25231870","create date:2014/09/19 | first author:Perry JR",
"PLXNA4 is associated with Alzheimer disease and modulates tau phosphorylation.","/pubmed/25043464","Jun G, Asai H, Zeldich E, Drapeau E, Chen C, Chung J, Park JH, Kim S, Haroutunian V, Foroud T, Kuwano R, Haines JL, Pericak-Vance MA, Schellenberg GD, Lunetta KL, Kim JW, Buxbaum JD, Mayeux R, Ikezu T, Abraham CR, Farrer LA.","Ann Neurol. 2014 Sep;76(3):379-92. doi: 10.1002/ana.24219.","Ann Neurol.  2014","PubMed","citation","PMID:25043464 | PMCID:PMC4830273","pubmed","25043464","create date:2014/07/22 | first author:Jun G",
"Gene-wide analysis detects two new susceptibility genes for Alzheimer's disease.","/pubmed/24922517","Escott-Price V, Bellenguez C, Wang LS, Choi SH, Harold D, Jones L, Holmans P, Gerrish A, Vedernikov A, Richards A, DeStefano AL, Lambert JC, Ibrahim-Verbaas CA, Naj AC, Sims R, Jun G, Bis JC, Beecham GW, Grenier-Boley B, Russo G, Thornton-Wells TA, Denning N, et al.","PLoS One. 2014 Jun 12;9(6):e94661. doi: 10.1371/journal.pone.0094661.","PLoS One.  2014","PubMed","citation","PMID:24922517 | PMCID:PMC4055488","pubmed","24922517","create date:2014/06/13 | first author:Escott-Price V",
"Strategies to design and analyze targeted sequencing data: cohorts for Heart and Aging Research in Genomic Epidemiology (CHARGE) Consortium Targeted Sequencing Study.","/pubmed/24951659","Lin H, Wang M, Brody JA, Bis JC, Dupuis J, Lumley T, McKnight B, Rice KM, Sitlani CM, Reid JG, Bressler J, Liu X, Davis BC, Johnson AD, O'Donnell CJ, Kovar CL, Dinh H, Wu Y, Newsham I, Chen H, Broka A, DeStefano AL, et al.","Circ Cardiovasc Genet. 2014 Jun;7(3):335-43. doi: 10.1161/CIRCGENETICS.113.000350.","Circ Cardiovasc Genet.  2014","PubMed","citation","PMID:24951659 | PMCID:PMC4176824","pubmed","24951659","create date:2014/06/22 | first author:Lin H",
"A novel trafficking-defective HCN4 mutation is associated with early-onset atrial fibrillation.","/pubmed/24607718","Macri V, Mahida SN, Zhang ML, Sinner MF, Dolmatova EV, Tucker NR, McLellan M, Shea MA, Milan DJ, Lunetta KL, Benjamin EJ, Ellinor PT.","Heart Rhythm. 2014 Jun;11(6):1055-62. doi: 10.1016/j.hrthm.2014.03.002.","Heart Rhythm.  2014","PubMed","citation","PMID:24607718 | PMCID:PMC4130372","pubmed","24607718","create date:2014/03/13 | first author:Macri V",
"Search for age-related macular degeneration risk variants in Alzheimer disease genes and pathways.","/pubmed/24439028","Logue MW, Schu M, Vardarajan BN, Farrell J, Lunetta KL, Jun G, Baldwin CT, Deangelis MM, Farrer LA.","Neurobiol Aging. 2014 Jun;35(6):1510.e7-18. doi: 10.1016/j.neurobiolaging.2013.12.007.","Neurobiol Aging.  2014","PubMed","citation","PMID:24439028 | PMCID:PMC3961547","pubmed","24439028","create date:2014/01/21 | first author:Logue MW",
"Whole blood gene expression and atrial fibrillation: the Framingham Heart Study.","/pubmed/24805109","Lin H, Yin X, Lunetta KL, Dupuis J, McManus DD, Lubitz SA, Magnani JW, Joehanes R, Munson PJ, Larson MG, Levy D, Ellinor PT, Benjamin EJ.","PLoS One. 2014 May 7;9(5):e96794. doi: 10.1371/journal.pone.0096794.","PLoS One.  2014","PubMed","citation","PMID:24805109 | PMCID:PMC4013062","pubmed","24805109","create date:2014/05/09 | first author:Lin H",
"Sex- and age-interacting eQTLs in human complex diseases.","/pubmed/24242183","Yao C, Joehanes R, Johnson AD, Huan T, Esko T, Ying S, Freedman JE, Murabito J, Lunetta KL, Metspalu A, Munson PJ, Levy D.","Hum Mol Genet. 2014 Apr 1;23(7):1947-56. doi: 10.1093/hmg/ddt582.","Hum Mol Genet.  2014","PubMed","citation","PMID:24242183 | PMCID:PMC3943525","pubmed","24242183","create date:2013/11/19 | first author:Yao C",
"Novel genetic markers associate with atrial fibrillation risk in Europeans and Japanese.","/pubmed/24486271","Lubitz SA, Lunetta KL, Lin H, Arking DE, Trompet S, Li G, Krijthe BP, Chasman DI, Barnard J, Kleber ME, Dörr M, Ozaki K, Smith AV, Müller-Nurasyid M, Walter S, Agarwal SK, Bis JC, Brody JA, Chen LY, Everett BM, Ford I, Franco OH, et al.","J Am Coll Cardiol. 2014 Apr 1;63(12):1200-10. doi: 10.1016/j.jacc.2013.12.015.","J Am Coll Cardiol.  2014","PubMed","citation","PMID:24486271 | PMCID:PMC4009240","pubmed","24486271","create date:2014/02/04 | first author:Lubitz SA",
"Correction for multiple testing in a gene region.","/pubmed/23838599","Hendricks AE, Dupuis J, Logue MW, Myers RH, Lunetta KL.","Eur J Hum Genet. 2014 Mar;22(3):414-8. doi: 10.1038/ejhg.2013.144.","Eur J Hum Genet.  2014","PubMed","citation","PMID:23838599 | PMCID:PMC3925272","pubmed","23838599","create date:2013/07/11 | first author:Hendricks AE",
"Targeted sequencing in candidate genes for atrial fibrillation: the Cohorts for Heart and Aging Research in Genomic Epidemiology (CHARGE) Targeted Sequencing Study.","/pubmed/24239840","Lin H, Sinner MF, Brody JA, Arking DE, Lunetta KL, Rienstra M, Lubitz SA, Magnani JW, Sotoodehnia N, McKnight B, McManus DD, Boerwinkle E, Psaty BM, Rotter JI, Bis JC, Gibbs RA, Muzny D, Kovar CL, Morrison AC, Gupta M, Folsom AR, Kääb S, et al.","Heart Rhythm. 2014 Mar;11(3):452-7. doi: 10.1016/j.hrthm.2013.11.012.","Heart Rhythm.  2014","PubMed","citation","PMID:24239840 | PMCID:PMC3943920","pubmed","24239840","create date:2013/11/19 | first author:Lin H",
"The heritability of circulating testosterone, oestradiol, oestrone and sex hormone binding globulin concentrations in men: the Framingham Heart Study.","/pubmed/23746309","Travison TG, Zhuang WV, Lunetta KL, Karasik D, Bhasin S, Kiel DP, Coviello AD, Murabito JM.","Clin Endocrinol (Oxf). 2014 Feb;80(2):277-82. doi: 10.1111/cen.12260.","Clin Endocrinol (Oxf).  2014","PubMed","citation","PMID:23746309 | PMCID:PMC3825765","pubmed","23746309","create date:2013/06/12 | first author:Travison TG",
"Gene expression and genetic variation in human atria.","/pubmed/24177373","Lin H, Dolmatova EV, Morley MP, Lunetta KL, McManus DD, Magnani JW, Margulies KB, Hakonarson H, del Monte F, Benjamin EJ, Cappola TP, Ellinor PT.","Heart Rhythm. 2014 Feb;11(2):266-71. doi: 10.1016/j.hrthm.2013.10.051.","Heart Rhythm.  2014","PubMed","citation","PMID:24177373 | PMCID:PMC3946863","pubmed","24177373","create date:2013/11/02 | first author:Lin H",
