Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"The Volume-Outcome Relationship in Critical Care: A Systematic Review and Meta-analysis.","/pubmed/25927593","Nguyen YL, Wallace DJ, Yordanov Y, Trinquart L, Blomkvist J, Angus DC, Kahn JM, Ravaud P, Guidet B.","Chest. 2015 Jul;148(1):79-92. doi: 10.1378/chest.14-2195. Review.","Chest.  2015","PubMed","citation","PMID:25927593 | PMCID:PMC4493880","pubmed","25927593","create date:2015/05/01 | first author:Nguyen YL",
"Assessment of heterogeneity in meta-analyses--reply.","/pubmed/25462002","Dechartres A, Trinquart L, Ravaud P.","JAMA. 2014 Dec 3;312(21):2287. doi: 10.1001/jama.2014.14349. No abstract available. ","JAMA.  2014","PubMed","citation","PMID:25462002","pubmed","25462002","create date:2014/12/03 | first author:Dechartres A",
"A test for reporting bias in trial networks: simulation and case studies.","/pubmed/25262204","Trinquart L, Ioannidis JP, Chatellier G, Ravaud P.","BMC Med Res Methodol. 2014 Sep 27;14:112. doi: 10.1186/1471-2288-14-112.","BMC Med Res Methodol.  2014","PubMed","citation","PMID:25262204 | PMCID:PMC4193287","pubmed","25262204","create date:2014/09/30 | first author:Trinquart L",
"Association between analytic strategy and estimates of treatment outcomes in meta-analyses.","/pubmed/25117131","Dechartres A, Altman DG, Trinquart L, Boutron I, Ravaud P.","JAMA. 2014 Aug 13;312(6):623-30. doi: 10.1001/jama.2014.8166.","JAMA.  2014","PubMed","citation","PMID:25117131","pubmed","25117131","create date:2014/08/15 | first author:Dechartres A",
"Oral antiviral therapy for prevention of genital herpes outbreaks in immunocompetent and nonpregnant patients.","/pubmed/25086573","Le Cleach L, Trinquart L, Do G, Maruani A, Lebrun-Vignes B, Ravaud P, Chosidow O.","Cochrane Database Syst Rev. 2014 Aug 3;(8):CD009036. doi: 10.1002/14651858.CD009036.pub2. Review.","Cochrane Database Syst Rev.  2014","PubMed","citation","PMID:25086573","pubmed","25086573","create date:2014/08/05 | first author:Le Cleach L",
"Reporting of results from network meta-analyses: methodological systematic review.","/pubmed/24618053","Bafeta A, Trinquart L, Seror R, Ravaud P.","BMJ. 2014 Mar 11;348:g1741. doi: 10.1136/bmj.g1741. Review.","BMJ.  2014","PubMed","citation","PMID:24618053 | PMCID:PMC3949412","pubmed","24618053","create date:2014/03/13 | first author:Bafeta A",
"Mechanical ventilation and clinical practice heterogeneity in intensive care units: a multicenter case-vignette study.","/pubmed/24484902","Nguyen YL, Perrodeau E, Guidet B, Trinquart L, Richard JC, Mercat A, Jolliet P, Ravaud P, Brochard L; REVA network..","Ann Intensive Care. 2014 Feb 1;4(1):2. doi: 10.1186/2110-5820-4-2.","Ann Intensive Care.  2014","PubMed","citation","PMID:24484902 | PMCID:PMC3922080","pubmed","24484902","create date:2014/02/04 | first author:Nguyen YL",
"Comparison of treatment effect estimates from prospective nonrandomized studies with propensity score analysis and randomized controlled trials of surgical procedures.","/pubmed/24096758","Lonjon G, Boutron I, Trinquart L, Ahmad N, Aim F, Nizard R, Ravaud P.","Ann Surg. 2014 Jan;259(1):18-25. doi: 10.1097/SLA.0000000000000256.","Ann Surg.  2014","PubMed","citation","PMID:24096758","pubmed","24096758","create date:2013/10/08 | first author:Lonjon G",
"A clinical rule (sex, contralateral occlusion, age, and restenosis) to select patients for stenting versus carotid endarterectomy: systematic review of observational studies with validation in randomized trials.","/pubmed/24135929","Touzé E, Trinquart L, Felgueiras R, Rerkasem K, Bonati LH, Meliksetyan G, Ringleb PA, Mas JL, Brown MM, Rothwell PM; Carotid Stenting Trialists’ Collaboration..","Stroke. 2013 Dec;44(12):3394-400. doi: 10.1161/STROKEAHA.113.002756. Review.","Stroke.  2013","PubMed","citation","PMID:24135929","pubmed","24135929","create date:2013/10/19 | first author:Touzé E",
"Computerized advice on drug dosage to improve prescribing practice.","/pubmed/24218045","Gillaizeau F, Chan E, Trinquart L, Colombet I, Walton RT, Rège-Walther M, Burnand B, Durieux P.","Cochrane Database Syst Rev. 2013 Nov 12;(11):CD002894. doi: 10.1002/14651858.CD002894.pub3. Review.","Cochrane Database Syst Rev.  2013","PubMed","citation","PMID:24218045","pubmed","24218045","create date:2013/11/13 | first author:Gillaizeau F",
"The influence of anti-infective periodontal treatment on C-reactive protein: a systematic review and meta-analysis of randomized controlled trials.","/pubmed/24155956","Demmer RT, Trinquart L, Zuk A, Fu BC, Blomkvist J, Michalowicz BS, Ravaud P, Desvarieux M.","PLoS One. 2013 Oct 14;8(10):e77441. doi: 10.1371/journal.pone.0077441. Review.","PLoS One.  2013","PubMed","citation","PMID:24155956 | PMCID:PMC3796504","pubmed","24155956","create date:2013/10/25 | first author:Demmer RT",
"Echocardiography and pulmonary embolism severity index have independent prognostic roles in pulmonary embolism.","/pubmed/23258789","Sanchez O, Trinquart L, Planquette B, Couturaud F, Verschuren F, Caille V, Meneveau N, Pacouret G, Roy PM, Righini M, Perrier A, Bertoletti L, Parent F, Lorut C, Meyer G.","Eur Respir J. 2013 Sep;42(3):681-8. doi: 10.1183/09031936.00097512.","Eur Respir J.  2013","PubMed","citation","PMID:23258789","pubmed","23258789","create date:2012/12/22 | first author:Sanchez O",
"Commentary: Meta-epidemiology, meta-meta-epidemiology or network meta-epidemiology?","/pubmed/23887205","Trinquart L, Dechartres A, Ravaud P.","Int J Epidemiol. 2013 Aug;42(4):1131-3. doi: 10.1093/ije/dyt137. No abstract available. ","Int J Epidemiol.  2013","PubMed","citation","PMID:23887205","pubmed","23887205","create date:2013/07/28 | first author:Trinquart L",
"Analysis of the systematic reviews process in reports of network meta-analyses: methodological systematic review.","/pubmed/23818558","Bafeta A, Trinquart L, Seror R, Ravaud P.","BMJ. 2013 Jul 1;347:f3675. doi: 10.1136/bmj.f3675. Review.","BMJ.  2013","PubMed","citation","PMID:23818558 | PMCID:PMC3697418","pubmed","23818558","create date:2013/07/03 | first author:Bafeta A",
"Comparison of treatment effect estimates for pharmacological randomized controlled trials enrolling older adults only and those including adults: a meta-epidemiological study.","/pubmed/23723992","Seegers V, Trinquart L, Boutron I, Ravaud P.","PLoS One. 2013;8(5):e63677. doi: 10.1371/journal.pone.0063677.","PLoS One.  2013","PubMed","citation","PMID:23723992 | PMCID:PMC3665786","pubmed","23723992","create date:2013/06/01 | first author:Seegers V",
"Influence of trial sample size on treatment effect estimates: meta-epidemiological study.","/pubmed/23616031","Dechartres A, Trinquart L, Boutron I, Ravaud P.","BMJ. 2013 Apr 24;346:f2304. doi: 10.1136/bmj.f2304. Review.","BMJ.  2013","PubMed","citation","PMID:23616031 | PMCID:PMC3634626","pubmed","23616031","create date:2013/04/26 | first author:Dechartres A",
"Impact of evergreening on patients and health insurance: a meta analysis and reimbursement cost analysis of citalopram/escitalopram antidepressants.","/pubmed/23167972","Alkhafaji AA, Trinquart L, Baron G, Desvarieux M, Ravaud P.","BMC Med. 2012 Nov 20;10:142. doi: 10.1186/1741-7015-10-142.","BMC Med.  2012","PubMed","citation","PMID:23167972 | PMCID:PMC3520785","pubmed","23167972","create date:2012/11/22 | first author:Alkhafaji AA",
"Comparative effectiveness of cryotherapy and salicylic acid for plantar warts.","/pubmed/23165837","Le Cleach L, Trinquart L, Penso-Assathiany D, Chosidow O.","Arch Dermatol. 2012 Nov;148(11):1311-3. doi: 10.1001/archdermatol.2012.2739. No abstract available. ","Arch Dermatol.  2012","PubMed","citation","PMID:23165837","pubmed","23165837","create date:2012/11/21 | first author:Le Cleach L",
"Adjustment for reporting bias in network meta-analysis of antidepressant trials.","/pubmed/23016799","Trinquart L, Chatellier G, Ravaud P.","BMC Med Res Methodol. 2012 Sep 27;12:150. doi: 10.1186/1471-2288-12-150.","BMC Med Res Methodol.  2012","PubMed","citation","PMID:23016799 | PMCID:PMC3537713","pubmed","23016799","create date:2012/09/29 | first author:Trinquart L",
"Endoluminal gingival fibroblast transfer reduces the size of rabbit carotid aneurisms via elastin repair.","/pubmed/22628429","Durand E, Fournier B, Couty L, Lemitre M, Achouh P, Julia P, Trinquart L, Fabiani JN, Seguier S, Gogly B, Coulomb B, Lafont A.","Arterioscler Thromb Vasc Biol. 2012 Aug;32(8):1892-901. doi: 10.1161/ATVBAHA.112.251439.","Arterioscler Thromb Vasc Biol.  2012","PubMed","citation","PMID:22628429","pubmed","22628429","create date:2012/05/26 | first author:Durand E",
"Gene polymorphisms and cytokine plasma levels as predictive factors of complications after cardiopulmonary bypass.","/pubmed/22264418","Jouan J, Golmard L, Benhamouda N, Durrleman N, Golmard JL, Ceccaldi R, Trinquart L, Fabiani JN, Tartour E, Jeunemaitre X, Menasché P.","J Thorac Cardiovasc Surg. 2012 Aug;144(2):467-73, 473.e1-2. doi: 10.1016/j.jtcvs.2011.12.022.","J Thorac Cardiovasc Surg.  2012","PubMed","citation","PMID:22264418","pubmed","22264418","create date:2012/01/24 | first author:Jouan J",
"One-year experience with high-emergency lung transplantation in France.","/pubmed/22531492","Boussaud V, Mal H, Trinquart L, Thabut G, Danner-Boucher I, Dromer C, Raymond CS, Reynaud-Gaubert M, Kessler R, Philit F, Dorent R, Stern M.","Transplantation. 2012 May 27;93(10):1058-63. doi: 10.1097/TP.0b013e31824d7079.","Transplantation.  2012","PubMed","citation","PMID:22531492","pubmed","22531492","create date:2012/04/26 | first author:Boussaud V",
"International cross-cultural field validation of an European Organization for Research and Treatment of Cancer questionnaire module for patients with primary liver cancer, the European Organization for Research and Treatment of Cancer quality-of-life questionnaire HCC18.","/pubmed/22105642","Chie WC, Blazeby JM, Hsiao CF, Chiu HC, Poon RT, Mikoshiba N, Al-Kadhimi G, Heaton N, Calara J, Collins P, Caddick K, Costantini A, Vilgrain V, Trinquart L, Chiang C; EORTC Quality of Life Group..","Hepatology. 2012 Apr;55(4):1122-9. doi: 10.1002/hep.24798.","Hepatology.  2012","PubMed","citation","PMID:22105642","pubmed","22105642","create date:2011/11/23 | first author:Chie WC",
"Early respiratory acidosis is a new risk factor for pneumonia after lung resection.","/pubmed/22184462","Planquette B, Le Pimpec-Barthes F, Trinquart L, Meyer G, Riquet M, Sanchez O.","Interact Cardiovasc Thorac Surg. 2012 Mar;14(3):244-8. doi: 10.1093/icvts/ivr115.","Interact Cardiovasc Thorac Surg.  2012","PubMed","citation","PMID:22184462 | PMCID:PMC3290355","pubmed","22184462","create date:2011/12/21 | first author:Planquette B",
"Impact of single centre status on estimates of intervention effects in trials with continuous outcomes: meta-epidemiological study.","/pubmed/22334559","Bafeta A, Dechartres A, Trinquart L, Yavchitz A, Boutron I, Ravaud P.","BMJ. 2012 Feb 14;344:e813. doi: 10.1136/bmj.e813.","BMJ.  2012","PubMed","citation","PMID:22334559 | PMCID:PMC3279328","pubmed","22334559","create date:2012/02/16 | first author:Bafeta A",
"Respective contribution of chronic conditions to disability in France: results from the national Disability-Health Survey.","/pubmed/23024781","Palazzo C, Ravaud JF, Trinquart L, Dalichampt M, Ravaud P, Poiraudeau S.","PLoS One. 2012;7(9):e44994.","PLoS One.  2012","PubMed","citation","PMID:23024781 | PMCID:PMC3443206","pubmed","23024781","create date:2012/10/02 | first author:Palazzo C",
"Impact of reporting bias in network meta-analysis of antidepressant placebo-controlled trials.","/pubmed/22536359","Trinquart L, Abbé A, Ravaud P.","PLoS One. 2012;7(4):e35219. doi: 10.1371/journal.pone.0035219.","PLoS One.  2012","PubMed","citation","PMID:22536359 | PMCID:PMC3335054","pubmed","22536359","create date:2012/04/27 | first author:Trinquart L",
"Underrepresentation of elderly people in randomised controlled trials. The example of trials of 4 widely prescribed drugs.","/pubmed/22479411","Konrat C, Boutron I, Trinquart L, Auleley GR, Ricordeau P, Ravaud P.","PLoS One. 2012;7(3):e33559. doi: 10.1371/journal.pone.0033559.","PLoS One.  2012","PubMed","citation","PMID:22479411 | PMCID:PMC3316581","pubmed","22479411","create date:2012/04/06 | first author:Konrat C",
"Letter by Naggara et al regarding article, ""Are distal protection devices 'protective' during carotid angioplasty and stenting?"".","/pubmed/21960566","Naggara O, Trinquart L, Touzé E.","Stroke. 2011 Nov;42(11):e578-80; author reply e581. doi: 10.1161/STROKEAHA.111.629477. No abstract available. ","Stroke.  2011","PubMed","citation","PMID:21960566","pubmed","21960566","create date:2011/10/01 | first author:Naggara O",
"Natriuretic peptide testing in EDs for managing acute dyspnea: a meta-analysis.","/pubmed/20825895","Trinquart L, Ray P, Riou B, Teixeira A.","Am J Emerg Med. 2011 Sep;29(7):757-67. doi: 10.1016/j.ajem.2010.02.026.","Am J Emerg Med.  2011","PubMed","citation","PMID:20825895","pubmed","20825895","create date:2010/09/10 | first author:Trinquart L",
"Single-center trials show larger treatment effects than multicenter trials: evidence from a meta-epidemiologic study.","/pubmed/21727292","Dechartres A, Boutron I, Trinquart L, Charles P, Ravaud P.","Ann Intern Med. 2011 Jul 5;155(1):39-51. doi: 10.7326/0003-4819-155-1-201107050-00006.","Ann Intern Med.  2011","PubMed","citation","PMID:21727292","pubmed","21727292","create date:2011/07/06 | first author:Dechartres A",
"New MR imaging criteria with a diffusion-weighted sequence for the diagnosis of hepatocellular carcinoma in chronic liver diseases.","/pubmed/21145857","Piana G, Trinquart L, Meskine N, Barrau V, Beers BV, Vilgrain V.","J Hepatol. 2011 Jul;55(1):126-32. doi: 10.1016/j.jhep.2010.10.023.","J Hepatol.  2011","PubMed","citation","PMID:21145857","pubmed","21145857","create date:2010/12/15 | first author:Piana G",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Knowledge of oral drug treatment in immunocompromised patients on hospital discharge.","/pubmed/21706451","Chau I, Korb-Savoldelli V, Trinquart L, Caruba T, Prognon P, Durieux P, Piketty C, Sabatier B.","Swiss Med Wkly. 2011 Jun 24;141:w13204. doi: 10.4414/smw.2011.13204.","Swiss Med Wkly.  2011","PubMed","citation","PMID:21706451","pubmed","21706451","create date:2011/06/28 | first author:Chau I",
"Restenosis is more frequent after carotid stenting than after endarterectomy: the EVA-3S study.","/pubmed/21311065","Arquizan C, Trinquart L, Touboul PJ, Long A, Feasson S, Terriat B, Gobin-Metteil MP, Guidolin B, Cohen S, Mas JL; EVA-3S Investigators..","Stroke. 2011 Apr;42(4):1015-20. doi: 10.1161/STROKEAHA.110.589309.","Stroke.  2011","PubMed","citation","PMID:21311065","pubmed","21311065","create date:2011/02/12 | first author:Arquizan C",
"Influence of age on the risk of severe exacerbation and asthma control in childhood.","/pubmed/21039184","Mahut B, Trinquart L, Delclaux C.","J Asthma. 2011 Feb;48(1):65-8. doi: 10.3109/02770903.2010.529225.","J Asthma.  2011","PubMed","citation","PMID:21039184","pubmed","21039184","create date:2010/11/03 | first author:Mahut B",
"Anatomical and technical factors associated with stroke or death during carotid angioplasty and stenting: results from the endarterectomy versus angioplasty in patients with symptomatic severe carotid stenosis (EVA-3S) trial and systematic review.","/pubmed/21183750","Naggara O, Touzé E, Beyssen B, Trinquart L, Chatellier G, Meder JF, Mas JL; EVA-3S Investigators..","Stroke. 2011 Feb;42(2):380-8. doi: 10.1161/STROKEAHA.110.588772. Review.","Stroke.  2011","PubMed","citation","PMID:21183750","pubmed","21183750","create date:2010/12/25 | first author:Naggara O",
"Terminology for the description of the diagnostic studies in the field of EBM.","/pubmed/21893851","Grabar N, Trinquart L, Colombet I.","Stud Health Technol Inform. 2011;169:769-73.","Stud Health Technol Inform.  2011","PubMed","citation","PMID:21893851","pubmed","21893851","create date:2011/09/07 | first author:Grabar N",
"Dual antiplatelet therapy in the secondary prevention of atherothrombosis: need for new therapeutic approaches.","/pubmed/21130962","Sabatier B, Trinquart L, Emmerich J.","Arch Cardiovasc Dis. 2010 Oct;103(10):497-501. doi: 10.1016/j.acvd.2010.06.007. Review. No abstract available. ","Arch Cardiovasc Dis.  2010","PubMed","citation","PMID:21130962","pubmed","21130962","create date:2010/12/07 | first author:Sabatier B",
"Efficacy of revascularization for renal artery stenosis caused by fibromuscular dysplasia: a systematic review and meta-analysis.","/pubmed/20625080","Trinquart L, Mounier-Vehier C, Sapoval M, Gagnon N, Plouin PF.","Hypertension. 2010 Sep;56(3):525-32. doi: 10.1161/HYPERTENSIONAHA.110.152918. Review.","Hypertension.  2010","PubMed","citation","PMID:20625080","pubmed","20625080","create date:2010/07/14 | first author:Trinquart L",
"Prediction of nosocomial infection acquisition in ventilated patients by nasal nitric oxide: proof-of-concept study.","/pubmed/20160667","Tadié JM, Trinquart L, Jannière-Nartey C, Guerot E, Louis B, Fagon JY, Diehl JL, Delclaux C.","Shock. 2010 Sep;34(3):217-21. doi: 10.1097/SHK.0b013e3181d67494.","Shock.  2010","PubMed","citation","PMID:20160667","pubmed","20160667","create date:2010/02/18 | first author:Tadié JM",
"Lung function impairment evidenced by sequential specific airway resistance in childhood persistent asthma: a longitudinal study.","/pubmed/20615168","Mahut B, Trinquart L, Bokov P, Peiffer C, Delclaux C.","J Asthma. 2010 Aug;47(6):655-9. doi: 10.3109/02770901003615786.","J Asthma.  2010","PubMed","citation","PMID:20615168","pubmed","20615168","create date:2010/07/10 | first author:Mahut B",
"Metastatic renal carcinoma: evaluation of antiangiogenic therapy with dynamic contrast-enhanced CT.","/pubmed/20551183","Fournier LS, Oudard S, Thiam R, Trinquart L, Banu E, Medioni J, Balvay D, Chatellier G, Frija G, Cuenod CA.","Radiology. 2010 Aug;256(2):511-8. doi: 10.1148/radiol.10091362.","Radiology.  2010","PubMed","citation","PMID:20551183","pubmed","20551183","create date:2010/06/17 | first author:Fournier LS",
"Hakki's formula for measurement of aortic valve area by magnetic resonance imaging.","/pubmed/20599011","Puymirat E, Chassaing S, Trinquart L, Barbey C, Chaudeurge A, Bar O, Blanchard D.","Am J Cardiol. 2010 Jul 15;106(2):249-54. doi: 10.1016/j.amjcard.2010.03.019.","Am J Cardiol.  2010","PubMed","citation","PMID:20599011","pubmed","20599011","create date:2010/07/06 | first author:Puymirat E",
"The link between exhaled NO and bronchomotor tone depends on the dose of inhaled steroid in asthma.","/pubmed/20189374","Mahut B, Trinquart L, Bokov P, Peiffer C, Delclaux C.","Respir Med. 2010 Jul;104(7):945-50. doi: 10.1016/j.rmed.2010.02.003.","Respir Med.  2010","PubMed","citation","PMID:20189374","pubmed","20189374","create date:2010/03/02 | first author:Mahut B",
"Partitioning of exhaled NO in ventilated patients undergoing cardiac surgery.","/pubmed/20219698","Tadié JM, Zegdi R, Trinquart L, Kurdi O, Journois D, Latremouille C, Diehl JL, Louis B, Fagon JY, Fabiani JN, Delclaux C.","Respir Physiol Neurobiol. 2010 Apr 30;171(2):151-6. doi: 10.1016/j.resp.2010.02.010.","Respir Physiol Neurobiol.  2010","PubMed","citation","PMID:20219698","pubmed","20219698","create date:2010/03/12 | first author:Tadié JM",
"Predictors for short-term progressive heart failure death in New York Heart Association II patients implanted with a cardioverter defibrillator--the EVADEF study.","/pubmed/20362726","Marijon E, Trinquart L, Otmani A, Leclercq C, Fauchier L, Chevalier P, Klug D, Defaye P, Lellouche N, Mansourati J, Deharo JC, Sadoul N, Anselme F, Maury P, Davy JM, Extramiana F, Hidden-Lucet F, Probst V, Bordachar P, Mansour H, Chauvin M, Jouven X, et al.","Am Heart J. 2010 Apr;159(4):659-664.e1. doi: 10.1016/j.ahj.2010.01.011.","Am Heart J.  2010","PubMed","citation","PMID:20362726","pubmed","20362726","create date:2010/04/07 | first author:Marijon E",
"High risk of clinical cardiovascular events in rheumatoid arthritis: Levels of associations of myocardial infarction and stroke through a systematic review and meta-analysis.","/pubmed/20656636","Meune C, Touzé E, Trinquart L, Allanore Y.","Arch Cardiovasc Dis. 2010 Apr;103(4):253-61. doi: 10.1016/j.acvd.2010.03.007. Review.","Arch Cardiovasc Dis.  2010","PubMed","citation","PMID:20656636","pubmed","20656636","create date:2010/07/27 | first author:Meune C",
"Prognostic factors for pulmonary embolism: the prep study, a prospective multicenter cohort study.","/pubmed/19910608","Sanchez O, Trinquart L, Caille V, Couturaud F, Pacouret G, Meneveau N, Verschuren F, Roy PM, Parent F, Righini M, Perrier A, Lorut C, Tardy B, Benoit MO, Chatellier G, Meyer G.","Am J Respir Crit Care Med. 2010 Jan 15;181(2):168-73. doi: 10.1164/rccm.200906-0970OC.","Am J Respir Crit Care Med.  2010","PubMed","citation","PMID:19910608","pubmed","19910608","create date:2009/11/17 | first author:Sanchez O",
