Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Genome-wide meta-analysis of systolic blood pressure in children with sickle cell disease.","/pubmed/24058526","Bhatnagar P, Barron-Casella E, Bean CJ, Milton JN, Baldwin CT, Steinberg MH, Debaun M, Casella JF, Arking DE.","PLoS One. 2013 Sep 13;8(9):e74193. doi: 10.1371/journal.pone.0074193.","PLoS One.  2013","PubMed","citation","PMID:24058526 | PMCID:PMC3772989","pubmed","24058526","create date:2013/09/24 | first author:Bhatnagar P",
"Genetic determinants of haemolysis in sickle cell anaemia.","/pubmed/23406172","Milton JN, Rooks H, Drasar E, McCabe EL, Baldwin CT, Melista E, Gordeuk VR, Nouraie M, Kato GR, Minniti C, Taylor J, Campbell A, Luchtman-Jones L, Rana S, Castro O, Zhang Y, Thein SL, Sebastiani P, Gladwin MT; Walk-PHAAST Investigators., Steinberg MH.","Br J Haematol. 2013 Apr;161(2):270-8. doi: 10.1111/bjh.12245. Erratum in: Br J Haematol. 2014 Aug;166(3):468. Kato, Gregory R [corrected to Kata, Gregory J]. ","Br J Haematol.  2013","PubMed","citation","PMID:23406172 | PMCID:PMC4129543","pubmed","23406172","create date:2013/02/15 | first author:Milton JN",
"Whole genome sequences of a male and female supercentenarian, ages greater than 114 years.","/pubmed/22303384","Sebastiani P, Riva A, Montano M, Pham P, Torkamani A, Scherba E, Benson G, Milton JN, Baldwin CT, Andersen S, Schork NJ, Steinberg MH, Perls TT.","Front Genet. 2012 Jan 3;2:90. doi: 10.3389/fgene.2011.00090.","Front Genet.  2012","PubMed","citation","PMID:22303384 | PMCID:PMC3262222","pubmed","22303384","create date:2012/02/04 | first author:Sebastiani P",
"A genome-wide association study of total bilirubin and cholelithiasis risk in sickle cell anemia.","/pubmed/22558097","Milton JN, Sebastiani P, Solovieff N, Hartley SW, Bhatnagar P, Arking DE, Dworkis DA, Casella JF, Barron-Casella E, Bean CJ, Hooper WC, DeBaun MR, Garrett ME, Soldano K, Telen MJ, Ashley-Koch A, Gladwin MT, Baldwin CT, Steinberg MH, Klings ES.","PLoS One. 2012;7(4):e34741. doi: 10.1371/journal.pone.0034741.","PLoS One.  2012","PubMed","citation","PMID:22558097 | PMCID:PMC3338756","pubmed","22558097","create date:2012/05/05 | first author:Milton JN",
"G6PD deficiency and stroke in the CSSCD.","/pubmed/21328436","Miller ST, Milton J, Steinberg MH.","Am J Hematol. 2011 Mar;86(3):331. doi: 10.1002/ajh.21958. No abstract available. ","Am J Hematol.  2011","PubMed","citation","PMID:21328436","pubmed","21328436","create date:2011/02/18 | first author:Miller ST",
"Severe sickle cell anemia is associated with increased plasma levels of TNF-R1 and VCAM-1.","/pubmed/21264913","Dworkis DA, Klings ES, Solovieff N, Li G, Milton JN, Hartley SW, Melista E, Parente J, Sebastiani P, Steinberg MH, Baldwin CT.","Am J Hematol. 2011 Feb;86(2):220-3. doi: 10.1002/ajh.21928.","Am J Hematol.  2011","PubMed","citation","PMID:21264913 | PMCID:PMC3078643","pubmed","21264913","create date:2011/01/26 | first author:Dworkis DA",
"Gene expression profiles in a rabbit model of systemic lupus erythematosus autoantibody production.","/pubmed/20817871","Rai G, Ray S, Milton J, Yang J, Ren P, Lempicki R, Mage RG.","J Immunol. 2010 Oct 1;185(7):4446-56. doi: 10.4049/jimmunol.1001254.","J Immunol.  2010","PubMed","citation","PMID:20817871 | PMCID:PMC2949067","pubmed","20817871","create date:2010/09/08 | first author:Rai G",
"Fetal hemoglobin in sickle cell anemia: genome-wide association studies suggest a regulatory region in the 5' olfactory receptor gene cluster.","/pubmed/20018918","Solovieff N, Milton JN, Hartley SW, Sherva R, Sebastiani P, Dworkis DA, Klings ES, Farrer LA, Garrett ME, Ashley-Koch A, Telen MJ, Fucharoen S, Ha SY, Li CK, Chui DH, Baldwin CT, Steinberg MH.","Blood. 2010 Mar 4;115(9):1815-22. doi: 10.1182/blood-2009-08-239517.","Blood.  2010","PubMed","citation","PMID:20018918 | PMCID:PMC2832816","pubmed","20018918","create date:2009/12/19 | first author:Solovieff N",
"Genetic modifiers of the severity of sickle cell anemia identified through a genome-wide association study.","/pubmed/20029952","Sebastiani P, Solovieff N, Hartley SW, Milton JN, Riva A, Dworkis DA, Melista E, Klings ES, Garrett ME, Telen MJ, Ashley-Koch A, Baldwin CT, Steinberg MH.","Am J Hematol. 2010 Jan;85(1):29-35. doi: 10.1002/ajh.21572.","Am J Hematol.  2010","PubMed","citation","PMID:20029952 | PMCID:PMC2903007","pubmed","20029952","create date:2009/12/24 | first author:Sebastiani P",
"Investigations of a rabbit (Oryctolagus cuniculus) model of systemic lupus erythematosus (SLE), BAFF and its receptors.","/pubmed/20041151","Yang J, Pospisil R, Ray S, Milton J, Mage RG.","PLoS One. 2009 Dec 30;4(12):e8494. doi: 10.1371/journal.pone.0008494.","PLoS One.  2009","PubMed","citation","PMID:20041151 | PMCID:PMC2794537","pubmed","20041151","create date:2009/12/31 | first author:Yang J",
"Genetic contributions to the autoantibody profile in a rabbit model of Systemic Lupus Erythematosus (SLE).","/pubmed/18602165","Puliyath N, Ray S, Milton J, Mage RG.","Vet Immunol Immunopathol. 2008 Oct 15;125(3-4):251-67. doi: 10.1016/j.vetimm.2008.05.020.","Vet Immunol Immunopathol.  2008","PubMed","citation","PMID:18602165 | PMCID:PMC2561998","pubmed","18602165","create date:2008/07/08 | first author:Puliyath N",
